716 90.3226
18771 17317 17030
18751 17109 17228
18617 17624 16849
18113 17620 18036
17923 18192 17532
17866 18041 17775
18651 17157 17494
17901 18073 17721
18758 17169 17161
17953 18160 17524
17988 18190 17367
18724 17185 17354
18473 17827 16875
18119 17690 18023
18540 17709 16902
17916 18130 17620
18034 18152 17358
17992 17905 17856
18013 17859 17922
18768 17270 17098
18002 18080 17625
18018 18137 17385
17959 17997 17833
18603 17639 16946
17940 18110 17625
18026 18100 17507
17952 17884 17874
18053 17720 18005
18634 17607 16918
18743 17224 17226
18634 17215 17518
18706 17480 16963
18215 17533 17989
18508 17714 17107
18148 17622 17967
17922 18062 17694
18228 18049 17085
17931 18191 17415
18003 17930 17786
18095 17870 17801
18085 18116 17266
17934 17936 17846
18648 17197 17496
18654 17231 17461
17968 18122 17496
18733 17328 17184
18088 17777 17945
18376 17758 17330
18176 17686 17908
18162 17618 17979
18203 18018 17252
18098 18086 17394
18675 17559 16931
18326 17471 17852
18513 17358 17612
17986 18029 17754
18027 18002 17773
18516 17354 17662
18645 17243 17480
18211 18056 17133
18122 17754 17889
18704 17525 16859
17965 18132 17560
17975 18131 17443
18139 17680 17952
18064 17816 17863
18657 17546 17025
18722 17349 17167
18135 18089 17276
18598 17654 16940
18537 17719 17003
18206 17967 17379
18696 17490 16969
18664 17536 17009
18746 17323 17178
18143 17746 17928
18069 18008 17587
18117 18068 17460
18667 17371 17282
18439 17880 16928
18559 17688 16907
18218 17661 17872
18568 17333 17605
18078 17742 17995
18032 17954 17735
18104 17723 17933
18453 17880 16907
18091 18109 17303
18315 17898 17310
18044 17979 17674
18646 17540 17072
18496 17516 17564
18126 17985 17500
18184 17849 17645
18059 18111 17340
18108 17901 17717
18444 17394 17682
18208 17605 17902
18410 17483 17684
18681 17237 17439
18749 17275 17164
18019 17873 17848
18612 17602 17013
18500 17364 17606
18120 18126 17235
18474 17479 17641
18041 18013 17597
18584 17641 17112
18530 17574 17285
18136 18057 17220
18558 17743 16868
18055 17779 17935
18381 17756 17391
18370 17894 17078
18717 17419 17083
18640 17405 17269
18418 17812 17216
18082 17981 17588
18101 17971 17606
18068 17731 18004
17981 18099 17577
18198 17887 17533
18114 17959 17628
18714 17538 16852
18362 17920 17119
18056 17750 17955
18505 17729 17122
18703 17287 17345
18596 17209 17594
18524 17303 17612
18099 18097 17341
18186 17773 17746
18167 17721 17813
18608 17519 17206
18595 17265 17601
18018 17828 17978
18396 17813 17191
18254 17975 17274
18100 18077 17390
18528 17648 17237
18148 17623 17963
18602 17642 16985
18358 17711 17433
18281 17506 17912
18110 17875 17741
18064 17805 17897
18607 17624 16980
18179 17480 17997
18534 17782 16974
18188 17705 17860
18634 17296 17425
18656 17503 17044
18246 17866 17455
18172 17913 17531
18686 17486 17131
18261 17741 17725
18236 17931 17410
18145 17944 17649
18299 17940 17150
18671 17579 16965
18699 17258 17357
18457 17763 17152
18622 17389 17385
18576 17727 16863
18372 17433 17777
18148 17826 17734
18427 17428 17692
18057 18037 17512
18039 18119 17427
18712 17370 17154
18591 17621 17095
18226 18005 17233
18351 17583 17652
18519 17716 17028
18727 17413 17089
18352 17925 16976
18289 17557 17877
18165 17733 17842
18624 17313 17524
18558 17262 17633
18163 18033 17377
18111 17841 17771
18051 17991 17618
18736 17305 17224
18659 17293 17446
18302 17508 17823
17977 18099 17691
18543 17335 17559
18176 17998 17264
18241 17608 17893
18181 17987 17405
18577 17324 17528
18739 17272 17251
18679 17347 17284
18615 17535 17170
18236 18024 17144
18073 17872 17845
18049 17886 17804
18564 17407 17471
18628 17247 17554
18379 17500 17687
18709 17366 17225
18676 17204 17464
18311 17862 17361
18292 17922 17218
18556 17682 17124
18477 17740 17052
18406 17706 17347
18632 17468 17211
18570 17416 17457
18374 17476 17720
18689 17280 17362
18042 17915 17794
18401 17725 17314
18582 17255 17653
18331 17593 17810
18359 17644 17583
18684 17380 17203
18481 17431 17634
18459 17397 17647
18295 17614 17801
18152 18046 17258
18545 17577 17278
18404 17845 17138
18666 17199 17486
18605 17444 17373
18479 17597 17399
18333 17895 17208
18270 17556 17893
18731 17284 17234
18663 17458 17240
18442 17486 17636
18429 17761 17174
18354 17765 17325
18305 17945 17105
18229 17697 17765
18118 17995 17482
18036 18024 17579
18649 17522 17114
18268 17613 17808
18255 17855 17370
18222 17582 17918
18221 17698 17780
18200 18035 17198
18189 17756 17769
18635 17527 17173
18465 17667 17223
18522 17341 17666
18480 17590 17351
18112 17844 17700
18274 17620 17728
18659 17544 17016
18581 17675 16995
18159 17760 17793
18131 17821 17751
18502 17633 17336
18593 17618 17057
18391 17412 17788
18110 17889 17711
18092 17835 17826
18589 17350 17503
18566 17442 17378
18580 17600 17142
18074 17845 17837
18610 17251 17552
18105 17937 17667
18457 17819 17019
18195 17828 17630
18730 17346 17200
18547 17553 17360
18690 17338 17294
18539 17736 16998
18694 17273 17365
18398 17588 17642
18367 17444 17762
18251 17818 17656
18224 17612 17850
18016 17880 17883
18674 17277 17426
18285 17852 17381
18267 17789 17544
18191 17769 17709
18415 17697 17387
18743 17382 17080
18701 17252 17362
18517 17568 17458
18090 17962 17675
18683 17524 17039
18490 17749 17044
18483 17801 16991
18363 17532 17722
18156 17810 17804
18038 17854 17884
18554 17463 17464
18290 17910 17353
18231 17756 17709
18638 17303 17413
18636 17559 17036
18387 17903 17068
18337 17735 17468
18083 17785 17899
18578 17512 17294
18533 17467 17488
18461 17587 17441
18435 17492 17624
18357 17678 17511
18217 17495 17952
18202 17833 17543
18171 17963 17406
18051 17878 17783
18386 17734 17324
18532 17522 17421
18463 17628 17438
18400 17553 17659
18553 17425 17548
18550 17450 17516
18346 17799 17246
18332 17867 17338
18295 17702 17622
18278 17752 17571
18484 17706 17187
18604 17542 17194
18552 17684 17063
18312 17947 17040
18421 17838 17091
18301 17653 17727
18188 17951 17490
18628 17578 17060
18499 17738 17023
18405 17675 17417
18343 17792 17336
18193 17884 17594
18170 17628 17942
18135 17750 17926
18580 17267 17560
18573 17424 17423
18560 17420 17449
18342 17892 17147
18470 17626 17432
18308 17787 17497
18062 17856 17848
18152 18011 17471
18727 17206 17270
18464 17358 17671
18661 17374 17304
18277 17783 17575
18741 17374 17149
18349 17589 17627
18319 17726 17498
18287 17744 17580
18562 17530 17304
18338 17475 17736
18297 17816 17537
18626 17248 17508
18535 17387 17570
18498 17461 17537
18369 17694 17479
18344 17658 17551
18159 17846 17682
18576 17309 17582
18425 17647 17462
18392 17636 17476
18282 17942 17257
18263 18004 17081
18252 17857 17448
18219 17771 17673
18128 17775 17880
18035 18065 17653
18572 17533 17255
18441 17689 17322
18347 17607 17668
18340 17809 17374
18323 17745 17408
18284 17817 17382
18178 17787 17677
17967 18035 17704
18716 17239 17366
18696 17456 17145
18586 17385 17395
18579 17401 17453
18458 17563 17539
18321 17830 17346
18303 17645 17696
18157 17738 17837
18133 17822 17748
18726 17344 17253
18725 17311 17291
18706 17376 17214
18461 17321 17680
18438 17369 17701
18341 17404 17810
18328 17611 17718
18321 17665 17609
18291 17453 17880
18280 17596 17843
18080 17989 17600
18627 17434 17308
18424 17824 16992
18422 17747 17306
18464 17291 17763
18708 17436 17118
18428 17797 17102
18423 17381 17736
18355 17758 17402
18164 17808 17707
18131 17932 17655
18248 17913 17449
18692 17411 17180
18539 17579 17260
18528 17601 17291
18413 17413 17730
18556 17411 17491
18331 17673 17574
18243 17864 17514
18449 17822 17065
18540 17707 17053
18619 17459 17324
18495 17659 17170
18645 17580 17034
18586 17671 16988
18271 17626 17755
18258 17785 17577
18213 17823 17636
18193 17654 17939
18492 17666 17169
18154 17930 17689
18313 17802 17431
18092 18027 17546
18217 17701 17759
18600 17486 17301
18621 17501 17249
18587 17342 17520
18573 17482 17341
18541 17497 17380
18446 17567 17545
18436 17603 17442
18412 17552 17594
18672 17417 17158
18526 17274 17714
18506 17636 17244
18421 17629 17474
18328 17929 17213
18317 17709 17609
18306 17498 17821
18713 17201 17398
18138 17956 17575
18549 17643 17136
18169 17998 17429
18700 17326 17314
18639 17399 17352
18630 17259 17487
18522 17439 17520
18365 17881 17218
18279 17448 17915
18192 17766 17764
18081 17984 17646
18043 17975 17695
18066 17880 17742
18692 17208 17396
18525 17631 17249
18468 17521 17472
18132 17807 17816
18049 17925 17714
18715 17448 17100
18551 17436 17504
18543 17581 17158
18448 17538 17541
18432 17503 17615
18411 17828 17092
18242 17682 17828
18356 17794 17228
18201 17666 17830
18324 17655 17679
18036 17928 17783
18651 17516 17070
18560 17573 17242
18434 17718 17295
18434 17576 17453
18335 17571 17714
18356 17645 17568
18162 17693 17887
18686 17552 16942
18477 17662 17343
18193 17699 17820
18389 17671 17509
18431 17438 17645
18687 17238 17398
18652 17307 17318
18520 17571 17323
18473 17740 17200
18243 17916 17343
18208 17772 17688
18515 17577 17316
18466 17719 17210
18257 17417 17916
18593 17319 17553
18555 17488 17378
18265 17948 17325
18017 18073 17553
18487 17608 17343
