50666 2341
29889 25064 25222
27643 23054 28335
27570 27848 23543
25591 28701 24823
25473 24055 29218
24543 27178 27493
24644 27383 27267
28498 23164 27613
24604 27651 26964
24748 27624 26977
27952 27580 23731
27798 23486 28234
28114 23373 28109
27504 23324 28507
29681 25687 24815
28599 24000 27296
26570 24811 28933
27472 27690 24606
29491 25274 25687
25400 27591 26611
25113 26327 28069
25751 23889 29198
27252 28055 23594
29199 25761 25352
25736 28651 24697
25187 27120 27500
26899 26647 26790
28122 23449 28015
27339 23201 28585
28306 27445 23614
27465 27959 23680
24770 27392 27200
29284 26301 24755
25937 28674 24367
27731 27636 24165
29651 25655 24886
28293 26665 25310
27779 23576 28151
26926 23685 28801
29728 25012 25539
26433 24290 29007
25951 25220 28836
26323 26789 26849
27864 23296 28255
27742 26565 26482
26295 24609 29082
28267 25049 27429
29076 26116 25232
27587 25026 27627
24905 27129 27303
28059 24234 27762
26838 28295 23777
26132 24383 29094
27968 24195 27923
26682 24475 28869
29382 24927 25934
29216 25985 25202
27008 28172 24355
25096 27473 27170
26865 27819 24786
25884 28633 24660
29505 25502 25510
28746 26826 24201
26462 28369 24518
28620 26312 25194
25345 27311 27115
29638 24559 25952
24838 26089 28315
28775 26761 23640
27995 23243 28187
28893 25198 26598
25015 27519 27155
25296 28074 26244
26140 24328 29125
28586 23992 27342
26594 27334 26154
24974 28101 26220
26379 28150 24964
26659 28385 24123
27074 28132 24003
28209 27291 23895
27172 23436 28706
29617 25440 25288
29106 26478 24435
25798 24635 29057
29710 25418 25333
28866 24214 27064
25259 27909 26422
26780 28376 23928
27818 24799 27721
27431 24113 28359
26176 25055 28908
26701 26072 27741
25161 28119 26181
27416 23737 28535
26848 25849 27696
26673 26256 27454
26035 28562 24284
24884 27356 27389
28374 23898 27582
26158 25122 28891
25721 28578 24739
27557 23413 28415
25049 26011 28304
27383 26143 27267
25907 26419 27949
25332 27882 26379
27548 25759 27400
26366 25535 28260
28656 23966 27232
26220 27208 26715
27559 23259 28472
27933 26941 24842
25235 27143 27180
28409 23866 27709
27144 23520 28687
26515 27607 25462
26027 24318 29164
28533 23667 27537
28996 25931 25414
25645 24176 29177
28072 27358 23828
26347 26725 27049
26306 25562 28164
28434 24860 26897
28850 24404 26752
25847 25679 28219
29402 24299 26203
28450 25634 26044
25660 27556 26444
25359 25908 28437
27826 27720 23854
28049 24409 27553
25964 26381 27977
28357 27269 23873
25927 25300 28816
29580 24843 25963
28723 26256 25496
28013 26908 25102
29343 25004 25912
28554 23547 27568
25033 27657 26784
28980 24552 26640
26104 27794 25999
29375 25106 25810
25535 27875 26307
24838 26939 27684
29417 24043 26129
29147 24823 26140
26711 24355 28725
28495 27103 23801
27450 23372 28451
28690 25384 26283
26621 25517 28043
28436 23353 27708
28636 23673 27411
25139 26965 27564
24992 27781 26801
24949 27958 26507
28393 26022 26289
28192 27284 24141
24793 27728 26827
27370 24698 27867
25066 26449 28053
25789 27420 26511
28182 23773 27968
25446 27617 26550
28924 26587 24488
29437 25732 25169
26957 24138 28666
28251 25229 26988
27520 27863 24074
27101 23799 28741
26550 26749 27035
26122 26530 27379
25378 28003 26347
24788 27301 27462
29872 25134 25390
29006 25111 26327
26688 24658 28518
28086 24087 27811
26482 26989 26460
28428 27023 24271
25605 24790 28954
28832 26602 24710
28352 23846 27815
26821 26709 26974
25703 24682 29141
28665 27068 23749
27602 27108 25978
27616 27742 24421
28892 26624 24539
26796 23837 28808
29178 25345 26084
26268 28410 25056
27045 28181 23994
25460 28256 25823
29593 25712 25076
25630 27167 27088
25419 28536 25175
27650 24524 28196
28921 26230 24899
27852 24436 27882
26351 23759 29052
29603 24673 25721
27630 26950 25668
27304 23788 28429
26655 28246 24460
26165 28426 25036
27216 28015 23883
26396 24342 28984
27367 25954 27643
27835 26853 25791
26731 24872 28325
28166 26458 25396
25570 28460 25445
29754 25477 25023
25973 25291 28695
28549 26156 25649
25707 28445 25278
27521 27811 23572
26529 26427 27598
28794 25208 26571
25891 28352 25640
26452 25554 27987
28531 24490 27016
29313 25266 25772
29768 25084 25402
28927 26557 24342
28158 23718 28007
27000 24098 28662
29025 25573 25891
29058 24964 26450
28705 24260 26924
28337 25082 27006
27336 25333 27789
27108 28108 23961
28324 27157 24252
27060 24601 28577
29090 25606 25575
26444 26232 27676
25332 26212 28135
28709 26935 24022
26012 24717 29056
25584 27764 26531
26790 28306 24395
26418 25369 28392
29543 24786 26010
29352 25881 24729
25387 28268 25858
28139 24432 27481
29247 24429 26353
29519 24917 25852
28876 25916 25562
27978 23417 28094
29063 24898 26535
25817 26771 27319
27196 26499 26885
28807 25978 25487
27492 27670 24940
29818 25136 25081
26402 28512 24157
27899 26395 25868
26605 25833 27847
27718 23594 28297
29565 25170 25657
29306 26212 24568
28672 25247 26399
29430 25958 24668
29233 26273 24782
27447 24059 28331
26773 25244 28179
28480 26539 25132
26829 27940 24992
26877 25180 27955
26493 28311 24321
25901 28477 25094
29539 24501 26028
27887 27496 24234
27184 28032 24317
26519 28114 24920
29125 24650 26257
24957 26040 28139
28280 25665 26516
26747 24055 28963
25245 28474 25264
25552 26824 27752
25280 26838 27652
26256 27990 25695
25763 27072 27254
25783 26873 27578
24977 27895 26494
26625 28227 24559
25217 27844 26736
26085 27053 27137
28536 26683 25005
26609 28044 24769
27110 23695 28619
28227 24348 27513
28421 24365 27364
25560 28622 24901
29169 26362 24621
28669 23632 27217
28516 25316 26401
29266 26354 24431
28826 26700 24983
28532 24028 27368
29039 25154 26272
26211 27771 26102
29098 24155 26951
26357 28526 24049
27068 23954 28559
29851 25426 25068
26459 25107 28775
27468 24979 27665
26051 28220 25252
26499 28006 24946
28001 23925 27831
25984 24761 28991
27873 26635 25424
26046 28325 25275
28986 26342 24679
27963 26269 26649
26023 28590 24581
28565 26881 24498
26236 27503 26418
28446 26995 24420
29845 24831 25588
28826 23505 27211
28514 27007 23819
29396 24892 25876
29802 24752 25601
26147 26892 26877
26072 25826 28029
29129 23976 26692
27772 23821 28055
27186 26186 27304
28024 27528 23990
28964 25410 25977
25497 23942 29217
25626 28237 26076
28073 26809 25320
27707 27735 23944
26655 24945 28647
29456 25585 25241
28645 26058 26021
26722 27955 24683
25916 28411 25215
27154 28083 23768
26937 23983 28757
27422 27034 26097
28970 24745 26674
26948 23912 28752
28336 27077 24211
25313 27618 26821
25216 25500 28578
28414 25262 26665
26526 28142 24868
29744 24739 25705
25600 25617 28495
28034 27472 23857
28240 27256 24290
26545 27851 25178
28569 26062 25745
27663 26886 26699
26384 24581 29031
26226 25806 28207
28780 23608 27218
25677 25394 28631
29616 25149 25547
28078 24426 27521
26969 26611 26868
25633 26518 27654
27205 24272 28295
29331 25887 25009
27570 23278 28300
25991 25813 28091
27202 23706 28607
25434 25629 28481
27773 27727 23661
26202 28084 25764
27530 24576 27908
24892 27672 26946
27242 27980 24098
28888 25820 25476
27389 25886 26938
28478 23532 27622
25496 25892 28284
27905 24539 27837
26235 27928 25803
25596 28607 24776
27232 24686 28082
29292 24884 26014
26561 27487 26459
29776 24375 25738
27162 24470 28310
28929 26098 25244
25350 26434 27890
29235 24732 26058
29830 24687 25623
26189 25599 28308
25793 25718 28274
25504 27218 27075
28762 26023 25902
25152 27237 27263
29119 25485 25860
25840 27542 26275
25690 28586 25152
27836 26980 25037
28751 26788 23801
26760 26848 26722
26406 23816 29035
28942 24254 26979
27356 27915 24254
29450 26151 24590
27912 24447 27515
25522 28247 25665
28095 24171 27653
26285 25784 28215
27909 27052 24858
26600 28212 24639
27269 27966 23948
29259 25366 25834
27989 25459 26974
28312 25586 26313
25505 27355 26569
27326 26974 26194
29573 24948 25631
27032 27796 25143
26640 25627 27961
29168 24723 26090
27320 25400 27912
27272 23825 28556
25642 28404 25379
27636 27787 24035
27033 28232 24303
25844 28498 25137
25771 26926 27515
26987 27529 25610
29045 26573 24223
29140 25471 25585
28260 27148 24718
26757 26612 27326
27214 23620 28596
25663 28199 25652
27826 24512 27901
25825 25429 28593
27385 26492 26833
27123 26838 26761
28146 26739 25329
25809 27258 26769
28522 24769 26768
28467 24588 26810
25685 26198 28000
27132 23924 28387
27921 27290 24389
27285 24260 28366
27348 23797 28404
28020 25356 27052
27133 25680 27779
27340 27229 25758
29020 26574 24102
29451 23806 26167
25301 27457 26863
28856 26030 25440
27305 27551 25432
28513 26967 24654
28789 25871 25616
27897 27452 24376
29672 25415 25377
25557 27837 26497
27353 24123 28367
25485 28464 25326
28944 25976 25328
29527 25787 25165
27683 25581 27151
27881 23735 28142
26989 27246 25842
27686 27344 25120
26943 26197 27125
29565 25792 24629
26599 28339 24213
27523 27807 24085
29453 25920 24055
29670 24586 25711
25422 28263 25730
29799 25216 25115
29349 25862 25000
27527 25775 26930
25585 26447 27801
29788 25191 25140
24758 27462 27212
27696 25184 27208
26069 25586 28541
26249 27669 25847
27671 25665 26956
26090 27973 25911
28199 24130 27666
28465 24696 27307
26650 27340 26067
