38050 2161
27417 24543 26111
27030 24015 26863
27023 25345 25773
25829 24538 27599
25821 25604 26320
25760 24852 27484
25783 24801 27529
27314 24754 26003
27353 24606 26074
25913 24882 27462
27403 24527 26112
26688 24196 27056
25983 25180 27331
26949 24974 26595
25881 25278 27262
25767 24815 27509
25846 24789 27562
25901 24635 27583
27381 24572 26124
27158 24672 26514
26332 25135 27093
26025 24586 27550
26353 24810 27337
26722 24220 27004
26914 24052 26987
27335 24695 26227
27244 24764 26438
26884 24252 26915
27359 24567 26302
27077 24403 26703
27294 24486 26327
25937 25238 27308
26899 25400 25818
26696 24134 27106
27164 24511 26575
27373 24599 26095
26101 24860 27472
26915 25295 26278
26894 25447 25910
27228 25035 26151
26957 24174 26892
26939 25354 25886
27043 24938 26543
26918 24032 26975
27231 24793 26410
27053 24391 26763
26315 25592 25846
26942 25101 26384
26366 25090 27100
26595 24926 27016
26354 24797 27318
26999 24502 26751
26972 24309 26844
26714 24114 27117
26417 25575 25958
26991 24950 26504
26230 25593 25831
27204 25067 26122
26826 24242 26982
27178 24767 26420
26923 25359 25881
27051 24366 26782
25995 25373 27146
25968 25273 27237
26362 24964 27208
27219 24923 26174
26024 25111 27309
25966 25259 27258
26546 25516 25990
26422 24900 27164
26084 25444 27023
26057 24666 27543
26829 24266 26926
26840 24619 26849
25948 25125 27366
26098 24877 27438
26536 25547 26018
25865 24921 27429
26012 25436 27051
27376 24440 26310
26943 24278 26856
26937 25367 25866
25898 25143 27335
26244 24660 27396
26128 24849 27498
26768 25379 25923
27108 24994 26267
26048 24984 27386
26474 25514 26062
25842 25034 27413
26118 24935 27409
26413 24970 27186
26572 25529 25982
27201 24800 26393
27273 24870 26134
25849 25020 27402
26609 25226 26858
26526 24826 27106
25852 25239 27293
26951 24094 26948
27180 25058 26178
25985 24685 27516
26221 25487 26884
27124 24752 26606
26370 25372 26886
26863 24156 27033
26215 25476 26973
26440 24730 27265
26753 25280 26675
26044 25074 27341
26822 25126 26763
26262 24843 27384
26881 25166 26698
27132 24457 26630
26951 24145 26934
27325 24591 26300
26808 24016 27057
27099 25160 26197
27024 24582 26742
26663 24650 27201
26210 25540 26871
26865 25231 26689
26137 24553 27490
26776 25458 25812
26705 25515 25855
26513 25555 25967
27138 25043 26214
26518 24906 27032
27128 24506 26613
26771 24293 26969
26923 24419 26883
26194 24748 27417
26061 25340 27171
26851 25320 26032
26658 25150 26895
26511 25507 26042
26813 25353 25961
25943 25344 27229
27380 24551 26243
27116 24352 26667
26969 25316 25945
26787 24161 27067
26875 24120 27038
27005 24338 26789
26761 24091 27109
27095 24888 26401
26011 25253 27221
26613 25376 26769
26278 24517 27439
25903 24965 27415
27036 25160 26322
26131 24694 27450
27278 24499 26379
26402 24707 27299
27009 24074 26931
27149 24791 26453
27166 25008 26199
27181 24801 26315
26930 24492 26838
26487 25465 26860
26457 25569 26042
26189 24669 27467
27121 24514 26636
25986 25220 27282
26793 24629 26893
26083 25173 27216
27154 24421 26665
27071 25144 26230
26039 25069 27377
26748 25386 26024
27143 25041 26259
26200 25403 27060
26719 25003 26867
27290 24784 26177
26765 25505 25785
26068 25215 27296
27047 25327 25855
27021 24866 26561
27263 24916 26086
26450 25308 27011
27190 24651 26547
27260 25018 26053
26496 25564 25968
27098 24468 26648
26551 25534 25863
26302 24729 27362
26717 24127 27086
27257 24708 26208
26520 24947 27018
25863 24915 27430
27172 24848 26364
26179 25498 26935
26650 25287 26747
26235 25434 26989
26670 25462 25948
26228 25004 27281
26677 25434 26016
26325 24939 27225
26727 25481 25791
26890 24025 27004
26631 25431 26060
26919 25014 26660
26410 24638 27353
26673 25190 26836
26725 24208 27045
26988 24461 26816
26892 24104 26972
26904 25389 25780
26783 24061 27079
26559 25415 26738
26847 24272 26921
26962 24377 26819
26898 24203 26943
26908 25263 26629
26039 25559 26991
26876 25335 25977
26949 24294 26848
27271 24570 26360
26265 25139 27159
26620 25350 26797
26549 24558 27240
26231 25212 27138
26524 24693 27246
26730 24321 26997
26392 25523 26873
26627 25269 26838
26679 24212 27089
27109 24874 26426
26869 24525 26881
27136 24742 26493
26931 24327 26864
26144 25263 27153
27084 24345 26721
25825 24912 27447
26483 24874 27132
26895 25411 25834
27144 24832 26484
27065 25054 26353
27071 25026 26357
27064 24546 26718
26157 25556 26980
26721 24353 26940
26200 25088 27254
26313 24953 27217
26564 25362 26912
26387 25390 26879
26377 25366 26954
26199 25247 27124
27030 24481 26734
26288 24699 27369
26978 24081 26897
26444 25392 26872
26930 25282 26240
26968 25259 26293
27013 24716 26653
27099 24744 26620
26636 24632 27221
26167 25570 26788
27085 25039 26343
27074 25252 25837
26978 25378 25803
26357 24681 27378
26159 25423 27016
26187 24884 27367
27087 25163 26170
26480 24703 27219
26448 24941 27072
26984 25338 25914
26977 25321 25934
26484 25490 26825
26583 24715 27183
26113 25520 27021
27016 24475 26783
26945 25288 25950
26843 25116 26714
26993 25055 26341
26175 25453 26976
26274 24450 27444
27322 24526 26311
26503 24869 27117
27265 24875 26105
26802 25018 26764
26799 24070 27040
26440 24836 27249
26394 24774 27308
26308 25059 27112
27168 24898 26391
26872 25319 26252
27104 25036 26331
27275 24787 26104
26263 24831 27348
26845 24449 26896
26832 25311 26437
26841 24331 26908
26890 24767 26760
26206 25333 27075
26972 24105 26924
27100 25079 26330
27092 25122 26225
26545 25446 26778
27225 25082 26090
26859 24316 26919
26076 25360 27142
27293 24474 26372
27279 24671 26241
26107 25163 27223
27068 24531 26702
27034 24592 26723
26416 24782 27283
26683 25349 26284
26181 25047 27288
26151 24869 27381
26294 24436 27435
26782 25451 25800
26558 25496 26705
26454 25082 26999
27159 24987 26265
27250 24754 26364
27222 24664 26485
27074 24690 26641
26054 25149 27308
27019 25335 25795
26916 24764 26728
26795 24535 26862
27121 25250 26162
26457 24817 27195
26674 24611 27152
27095 24817 26543
26576 25235 26941
26249 25107 27211
26855 24371 26905
26271 24485 27446
26733 25060 26831
26250 25333 27034
26579 24992 26962
26948 24738 26663
