20131 1141
28399 26627 26749
28215 26958 26650
27795 26316 27501
27741 27211 26814
27530 26391 27600
27358 26818 27387
27409 26653 27576
27602 26417 27587
27462 26684 27552
27453 26796 27438
27488 26840 27355
27564 26519 27507
27648 26435 27526
27630 26468 27543
27753 26462 27490
27580 27105 27045
27863 26432 27472
27530 26646 27455
27722 26483 27514
27559 26562 27493
27610 26767 27390
27511 26871 27351
27941 27156 26692
28006 26443 27337
28160 26502 27208
27814 27198 26756
27515 26600 27498
27634 26749 27372
27527 26794 27448
27851 27165 26842
28237 26930 26714
28384 26716 26655
28197 26983 26667
28129 26419 27238
27891 26531 27424
27621 26752 27361
27845 27136 26907
27985 27148 26849
28136 27051 26699
27676 26718 27404
27763 26589 27456
28250 26476 27110
27665 26735 27421
28231 26523 27160
27746 26685 27384
27965 26707 27302
28339 26768 26734
27562 26549 27510
27698 26979 27189
27630 26718 27431
28157 27013 26681
27563 26643 27442
27709 27060 27147
27991 27133 26788
27661 27193 26920
28266 26894 26675
27692 26882 27296
27871 26576 27368
27685 27101 27079
27844 26439 27493
27835 27188 26799
28357 26744 26763
27988 26570 27368
27855 27130 26966
28353 26743 26790
27718 26639 27478
28343 26641 26908
27812 26682 27341
27814 27172 26939
28223 26583 27123
28383 26653 26826
27830 26829 27319
28366 26656 26852
27638 27078 27105
27910 26623 27345
28335 26637 26953
28372 26617 26958
27801 27183 26847
27609 26815 27409
28060 26597 27244
28150 26543 27171
28376 26676 26750
28087 27072 26741
27861 27183 26774
27944 26754 27293
28185 26987 26660
28298 26822 26810
27746 26846 27349
27735 26552 27477
28222 26607 27104
28205 26966 26804
27895 27025 27046
28164 26839 27035
28106 27061 26768
28195 26833 26929
27869 27088 26957
28290 26880 26657
28236 26888 26776
28136 26554 27208
28067 26563 27264
27877 27052 27005
27819 27059 27075
27646 27000 27177
27858 26662 27412
27789 27068 27096
28057 26603 27226
28249 26871 26727
27761 27023 27144
27960 26741 27234
27917 27032 27018
28202 26655 27116
28269 26498 27045
27654 26994 27195
27622 26929 27330
28207 26561 27128
28139 26491 27214
27677 26995 27163
27878 26573 27357
27907 26591 27352
27993 26493 27326
27715 27029 27126
27873 26625 27364
27950 26467 27405
27983 26969 27055
27763 26745 27353
27656 26533 27499
27852 26732 27312
28275 26668 27012
28308 26820 26738
28330 26647 26934
28189 26811 27011
27954 26722 27282
27926 26815 27284
27717 26711 27418
28040 26835 27185
28210 26949 26719
28125 26693 27136
27875 27082 26978
28280 26826 26860
28257 26709 26992
28145 27016 26802
27768 27103 27024
28368 26729 26828
27711 26950 27228
27694 26869 27321
27807 27063 27047
28311 26770 26876
27687 27101 27065
27671 26999 27154
27752 26928 27235
28227 26609 27068
28177 26536 27191
27898 27124 26881
28113 26615 27222
28077 26541 27322
28177 26632 27121
28051 26704 27210
28187 26792 27042
28049 26651 27264
27790 26616 27451
27975 26784 27214
28075 26739 27167
27933 27108 26866
28116 26788 27118
27884 27096 26935
27857 27124 26940
27781 26763 27336
28242 26586 27090
28038 27050 26795
28026 26657 27275
28024 26727 27211
28013 26723 27251
27878 26731 27311
27786 26884 27243
28181 26987 26696
28020 26589 27278
28169 26862 26947
28099 27034 26781
27950 26680 27306
27940 26801 27247
28264 26774 26961
28171 26800 27014
28118 26945 26891
27948 27118 26857
27727 26921 27269
27903 26673 27351
28248 26776 26944
28167 26640 27164
28322 26733 26885
28301 26687 26984
28073 26954 26980
27973 27150 26834
27821 27154 26861
28333 26764 26846
28277 26867 26831
28326 26690 26863
27805 26874 27241
28319 26491 26971
28191 26912 26835
27771 27098 27100
27730 26903 27237
28253 26658 27048
28089 27045 26833
28044 27041 26893
27898 26464 27418
27790 26671 27410
27718 26936 27288
28180 26857 26949
28044 27086 26721
28019 26621 27323
28196 26665 27091
27725 27190 26836
28355 26831 26680
27980 26888 27129
27837 27170 26850
27826 27113 26996
28053 27068 26771
27813 26757 27334
28212 26890 26819
28211 26660 27076
28096 27037 26844
28224 26804 26933
28133 26813 27073
27942 27084 26892
28308 26771 26784
28227 26905 26765
27993 26907 27087
28032 26977 27004
27725 26980 27173
27953 26788 27195
27922 27091 26909
27998 26992 26974
28245 26900 26753
28229 26766 27006
28226 26717 27030
28162 26984 26822
28106 26879 27027
27987 27049 26905
27962 26917 27109
27956 26775 27256
27796 26972 27184
28316 26720 26955
28142 26551 27192
27881 26941 27155
27815 27094 27032
27793 27039 27081
28095 26641 27181
27824 26562 27476
28324 26725 26889
28296 26721 26924
27818 26728 27327
27658 27151 26970
28258 26844 26877
27900 26861 27199
27834 27020 27106
27778 26875 27250
27719 26911 27272
28147 26870 26923
27838 26926 27220
28283 26847 26801
28273 26803 26896
27766 26901 27245
27847 26963 27148
27842 27011 27081
27758 26765 27352
28262 26771 26963
27739 26884 27266
27863 27120 26909
28207 26760 27023
28075 26808 27092
27830 27115 26987
28058 26631 27225
28269 26679 27021
27941 26602 27330
27829 26976 27131
28139 26701 27112
28052 27070 26751
28293 26837 26779
28014 27117 26759
28168 26931 26884
28150 26956 26858
28126 26878 26988
28009 26940 27064
27970 26756 27215
27931 26849 27179
27909 26961 27114
27899 27099 26882
27872 27007 27082
28093 26842 27090
28230 26893 26807
28090 26698 27158
28083 26906 27000
28078 26918 27002
28050 27014 26918
28045 27077 26737
27908 26675 27338
27657 26493 27513
28307 26750 26898
28282 26571 27022
28098 26964 26871
28035 27035 26897
28030 26854 27148
28241 26881 26793
27962 26892 27133
28294 26847 26677
28293 26689 26983
28173 26845 26994
27999 27009 26937
27912 26714 27329
27897 27012 27053
27882 26826 27214
27827 26949 27161
27787 26866 27263
28287 26794 26926
28303 26772 26886
28270 26865 26875
28176 26795 27043
28131 26860 26998
28122 26973 26852
28054 26971 27010
27995 27094 26873
27957 26925 27118
27937 26853 27176
