9774 1804
28467 26495 26902
28366 26305 27240
27978 27002 26716
27903 27099 26804
27685 26524 27486
27620 26563 27437
28076 26964 26763
28247 26833 26746
27873 26377 27471
28388 26339 27170
27803 26495 27461
28318 26313 27241
27681 27091 26997
27660 27013 27149
27827 27053 26947
28178 26917 26830
28448 26568 26854
28428 26461 27097
27653 26910 27315
27793 27068 26976
28446 26463 27086
28092 26954 26813
27764 27050 27045
27629 26700 27382
27750 27038 27049
27772 26791 27341
28374 26387 27161
28341 26756 26852
28255 26812 26837
27638 26701 27373
28387 26366 27187
27733 27083 26961
27873 26599 27420
27830 26967 27166
28356 26729 26858
27764 26930 27221
27942 26574 27429
27930 27075 26940
27821 26606 27425
27721 27006 27143
27716 26988 27232
27784 26983 27149
27849 26974 27140
27691 27030 27059
27836 27018 27111
27698 26799 27328
28094 26392 27400
28357 26350 27226
28251 26816 26867
27805 27040 26974
28242 26373 27322
28422 26473 27007
28406 26438 27150
27744 26965 27169
28279 26805 26810
28177 26421 27346
28169 26416 27349
27806 27096 26938
27853 27031 27054
28288 26795 26879
28099 26489 27389
28236 26403 27306
28357 26450 27176
28238 26357 27325
27910 27081 26894
28306 26400 27271
28336 26427 27233
27825 27035 26971
27973 26546 27407
27868 27025 26977
27894 26912 27164
27726 26856 27296
27814 26870 27238
28411 26593 26989
28067 26567 27367
27962 27004 26913
28222 26457 27311
28173 26409 27358
27980 26978 27064
28290 26477 27275
27900 26994 26990
28427 26591 26887
28035 26844 27185
28031 26979 26967
27883 27022 27022
27861 26772 27320
28404 26496 27067
27887 27024 26983
27843 26717 27360
27708 27040 27058
27704 26891 27297
27637 26918 27244
27920 26613 27412
28253 26813 26836
28028 26580 27371
28166 26866 26950
28054 26485 27406
28304 26750 26945
28378 26412 27153
28055 26957 26963
27961 27023 26870
27906 26682 27386
28419 26559 26898
28352 26702 26937
27998 27000 26935
28105 26510 27350
28380 26564 27055
27953 26864 27191
27895 26766 27335
27864 26987 27114
28415 26557 27056
27794 26898 27234
28398 26493 27094
27857 26953 27186
27735 27004 27149
28092 26942 26873
28250 26808 26917
28260 26798 26882
28342 26605 27092
28045 26521 27411
28267 26434 27291
28252 26396 27301
28168 26429 27332
27900 27011 26975
28297 26355 27313
28190 26823 27000
28391 26468 27129
28155 26513 27339
28421 26628 26897
27792 26947 27212
27956 26840 27190
28157 26904 26919
27812 26998 27128
28072 26997 26904
27949 26939 27119
27916 26771 27282
28395 26573 27032
28315 26445 27242
27789 26888 27253
27746 26908 27246
27729 26965 27207
27799 26886 27291
28140 26848 27003
28075 26975 26891
28390 26685 26909
27735 26698 27402
28368 26655 26985
28320 26767 26885
28208 26872 26904
27913 27005 26941
28027 26585 27359
28205 26821 26989
28197 26720 27134
28012 26563 27395
28276 26507 27236
28219 26570 27269
28023 26935 27026
28367 26442 27204
28355 26447 27191
28091 26582 27327
28052 26705 27264
28195 26859 26925
28324 26733 26994
28302 26660 27068
28214 26352 27363
28083 26941 26894
28075 26778 27163
28330 26637 27084
28239 26870 26890
27919 26795 27251
27801 26761 27365
28119 26500 27354
28283 26640 27132
28269 26715 27080
28192 26800 27048
27967 26833 27225
27928 26993 26981
28328 26504 27193
28281 26612 27210
28062 26951 26973
28019 26868 27155
27867 26913 27184
27707 26857 27303
27987 26915 27081
27922 26986 27062
28360 26498 27154
28009 26888 27104
27984 26678 27351
27976 26803 27218
27935 26947 27137
27840 26930 27204
28195 26878 26901
28090 26882 27024
28022 26924 27077
28071 26931 27010
28397 26626 26922
28324 26744 26931
28245 26721 27075
28101 26927 26979
28048 26725 27261
28147 26483 27345
28078 26577 27331
27936 26907 27175
27926 26881 27206
27924 26783 27266
27901 26962 27078
28378 26552 27088
28171 26826 27031
28098 26696 27272
28066 26950 26952
27995 26958 27029
27937 26626 27393
28136 26481 27346
28271 26538 27255
28266 26730 27046
28018 26619 27381
27969 26653 27379
28364 26443 27189
28334 26515 27156
28308 26718 27022
28216 26727 27108
28175 26737 27120
28160 26693 27198
28135 26610 27321
28133 26920 26929
28012 26819 27201
28004 26928 27039
27879 26983 27083
27877 26854 27276
28235 26596 27229
28225 26492 27300
28050 26838 27165
27914 26922 27156
28417 26533 27014
28384 26653 27009
28383 26616 27038
28344 26697 26996
28321 26670 27021
28274 26649 27124
27947 26712 27333
28285 26589 27145
28264 26525 27277
28111 26801 27146
28057 26785 27179
27886 26789 27257
27850 26859 27286
27689 26818 27340
28079 26781 27160
27951 26875 27190
27945 26926 27149
27786 26789 27317
27965 26713 27311
27939 26739 27295
27931 26747 27322
28165 26869 26954
28146 26644 27258
28082 26943 26969
27942 26853 27249
28148 26945 26812
28089 26659 27288
28243 26503 27284
28214 26621 27228
28155 26393 27378
28065 26895 27052
28303 26764 26928
28207 26802 27019
28200 26760 27089
28103 26722 27223
28003 26670 27310
28052 26861 27147
28267 26738 27036
28250 26731 27073
28246 26822 26933
28199 26834 26965
28185 26797 27072
28184 26699 27173
28164 26690 27200
28163 26817 27051
28129 26465 27375
28086 26910 27005
28053 26810 27168
27958 26760 27268
28389 26664 26934
28349 26595 27098
28261 26740 27070
28230 26792 26966
28223 26836 26958
28210 26707 27159
28189 26710 27138
28188 26828 27017
28187 26851 26977
28179 26873 26939
28162 26465 27337
28141 26905 26984
28108 26742 27198
28097 26506 27377
28087 26892 27030
28071 26560 27347
28044 26879 27130
28042 26794 27193
28224 26588 27232
28215 26544 27297
28142 26458 27350
27956 27018 26929
27821 26991 27122
28310 26746 26920
27810 26831 27293
28358 26669 26952
28350 26649 27015
28348 26620 27060
28259 26608 27218
28233 26691 27141
28211 26758 27062
28121 26689 27231
28069 26616 27348
28046 26909 27033
28037 26592 27357
28016 26541 27387
28007 26753 27281
28000 26796 27203
27994 26645 27342
28313 26603 27117
28151 26681 27235
28109 26845 27095
28022 26639 27337
27992 26890 27160
28391 26613 26999
28015 26683 27302
28326 26531 27209
28292 26474 27235
27988 26900 27112
27982 26601 27393
27876 26780 27299
27823 26964 27186
27809 26871 27242
28250 26788 26958
28242 26850 26956
28048 26961 26910
28243 26748 27066
28168 26811 27106
28148 26528 27329
28146 26547 27307
28101 26630 27304
28090 26899 27012
28041 26662 27318
28244 26614 27182
28238 26542 27254
28211 26516 27324
28097 26554 27355
28006 26961 26992
28341 26487 27181
28248 26436 27300
28027 26937 26992
28307 26774 26872
28300 26698 27100
28201 26722 27116
28182 26674 27214
28116 26665 27247
27902 26693 27352
28448 26482 26982
28340 26629 27087
28313 26674 27041
28310 26609 27094
28296 26631 27113
28278 26732 27028
28276 26617 27151
28237 26784 27006
28206 26633 27227
28196 26815 27034
28186 26761 27102
28183 26599 27278
28181 26773 27082
28173 26676 27188
28167 26648 27217
28159 26714 27166
28149 26745 27180
28139 26562 27286
28137 26765 27131
28132 26935 26924
28129 26775 27123
28117 26814 27085
28103 26651 27265
28088 26850 27099
28059 26901 27016
28036 26751 27263
28001 26647 27326
27970 26992 27040
27926 26769 27274
27912 26668 27362
28396 26522 27112
28331 26475 27186
28295 26579 27187
28232 26635 27182
28229 26518 27295
28191 26679 27181
28180 26708 27165
