9006 1562
19088 16389 16399
18452 15936 17988
16571 19327 14939
16034 16075 19824
15404 19613 15591
14939 18617 18301
16323 19430 15039
16045 19506 15115
17929 18584 15316
18800 15985 17344
17333 18976 15243
15574 16213 19762
18084 16006 18412
17669 16043 18787
15025 18572 18394
15605 19607 15525
15478 19572 15730
16787 19257 15199
15154 18280 18697
18460 17906 15130
15728 19556 15573
15978 19534 15165
14988 19207 17307
15121 18638 18290
19076 16559 16550
14993 19380 16706
16440 19397 15441
15068 19071 17704
15101 19343 17003
15251 19513 16531
15189 19292 17123
14966 18932 17925
16431 19407 15543
15043 19550 15963
18103 16114 18386
16810 19213 15159
15217 18272 18749
16480 16370 19655
17282 19110 15497
16164 16058 19742
17579 16152 18890
19056 16634 16421
15243 19385 16664
16157 16135 19754
15083 18616 18332
18470 16177 17883
17998 18497 15643
17549 18833 15385
16381 19424 15364
16682 19301 15649
16279 16616 19678
17562 16286 18905
17055 19161 15350
17805 15994 18709
15223 19146 17455
15757 19358 16725
16643 16134 19577
16259 19475 15420
15867 19565 15364
16283 19419 15618
15805 19273 16958
14958 19116 17484
17999 18460 15670
17456 16302 19039
15053 18731 18226
17784 18769 15620
18464 16192 17948
17887 16094 18599
15718 19609 15410
16330 19363 15999
16197 16430 19721
18161 18310 15397
18785 16157 17339
15855 19523 15806
15324 18755 18179
16458 19357 15457
15120 19011 17710
16067 17603 19110
15420 19449 16531
15481 18805 18124
15342 17340 19398
18289 16275 18172
16839 16111 19479
19009 16503 16726
15169 18058 18927
18439 17957 15332
17324 19042 15225
15090 18645 18292
18417 18032 15517
18710 17470 16207
18079 18351 15213
15544 19478 16241
18891 16994 16639
16371 16420 19682
17353 16099 19125
18317 16779 17907
15494 19510 15968
16022 19484 15480
17444 18945 15773
16904 16362 19392
18517 16169 17881
18452 17891 15851
17472 18843 15489
17093 19128 15600
16266 19453 15609
18272 16242 18212
16010 19301 16847
16545 19337 15229
16361 16203 19705
16772 19225 15348
16231 16451 19710
15507 18228 18730
16724 19246 15845
16466 16346 19696
15476 19368 16964
19054 16250 16595
18197 16353 18269
15461 19500 16098
15945 19263 16865
15712 19567 15536
16779 19221 15328
18796 16195 17306
17160 18624 17401
19052 16675 16313
17492 18831 15463
16148 16232 19745
15671 19464 16274
17005 16266 19389
16591 16247 19648
17082 18388 17657
18681 17588 15950
16339 16397 19734
19038 16312 16748
15783 17767 19101
18975 16987 16452
18457 16643 17767
15275 19103 17515
15963 19441 15943
18020 16215 18479
16919 16224 19394
15525 18156 18872
18467 16054 17893
17074 19104 15745
18651 16639 17488
18940 16598 16959
16220 19341 16048
18591 17752 15919
15048 18915 17896
15690 18566 18296
15619 16171 19761
16541 16494 19572
18587 17781 15739
15412 19201 17409
17126 16572 19278
18874 16454 17072
16441 18738 17829
16326 16672 19579
18538 16619 17733
18655 17542 16403
18868 17257 15991
18088 16319 18409
17409 17961 18025
15928 19438 15962
18485 16521 17806
16508 17661 18997
18811 17039 16750
15395 18846 18036
15280 18806 18037
16843 16259 19437
16795 19234 15243
16349 16526 19615
16077 17731 19068
15516 18991 17672
17388 18821 16193
17718 18587 16200
17701 17032 18524
15640 19191 17344
18203 17824 17103
18332 18177 15465
16369 19180 16744
15894 18596 18168
15456 17355 19385
17740 16815 18721
18216 18306 15477
16043 19434 16016
15173 18269 18755
15744 19378 16532
16643 16660 19455
17758 16206 18715
