25833 2642
27498 24854 25262
26891 23854 26465
26624 25617 24956
26329 24125 26677
26124 25691 25712
26026 25309 26468
27163 23946 26180
26984 23885 26389
27140 24006 26211
27276 24471 25889
27115 24586 26006
26280 25649 25916
27233 24625 25954
27414 24839 25553
27161 24210 26169
26519 24068 26676
26754 24545 26291
27071 24178 26298
27394 24963 25237
26968 25387 24970
26449 24217 26638
26071 25303 26459
27370 24485 25601
26677 25563 24990
26635 25614 25007
27210 25161 25298
26108 25388 26367
26479 24120 26650
27476 24780 25457
26992 25316 25168
26551 25485 25808
27321 24952 25404
26216 25674 25640
26764 24100 26492
26533 24027 26619
27218 24658 25974
26344 24272 26662
26873 25282 25863
27492 24847 25365
26636 24045 26573
26568 25643 25036
27356 25000 25330
27290 24663 25666
26469 25449 26100
27430 24943 25414
26987 25380 25022
27450 24686 25572
27148 24425 26092
27424 24950 25341
27170 24881 25798
27463 24769 25489
26453 25225 26348
27483 24684 25384
26407 24335 26526
26212 25657 26016
26859 24154 26488
26476 24347 26458
27351 24754 25606
27046 24982 25683
26751 25519 25179
27230 24635 25933
26778 25365 25970
26808 25470 25104
26086 25356 26395
26156 25684 25707
27446 24788 25440
27189 24846 25780
26853 25465 25089
27124 25156 25596
27274 24608 25667
27310 25014 25321
26934 24321 26335
26489 24122 26613
26640 25592 25054
26940 25209 25745
27329 24633 25649
26378 25099 26405
26924 25299 25537
26667 25419 25988
26265 25630 26004
27315 25084 25279
27156 24019 26199
26697 24114 26542
26410 24284 26605
26785 24450 26315
26913 25241 25789
26193 24873 26594
27253 24988 25393
26671 25567 25156
27258 24602 25721
27340 24732 25632
26641 25597 24958
26494 25506 25836
26310 25124 26507
26121 25440 26296
27103 24673 26001
26319 25083 26469
26396 24948 26505
26145 25497 26198
27387 24867 25456
26416 24096 26659
26037 25548 26262
27465 24801 25436
27329 25028 25248
26534 25499 25817
26364 24295 26577
26586 25335 26185
26656 24144 26559
26133 25328 26419
27380 24979 25257
26608 25433 25848
26517 24904 26452
26237 25653 26011
27213 25154 25214
27305 24167 25753
26214 25572 26098
26804 25059 26148
27465 24708 25520
26253 24797 26588
27256 24703 25660
27052 25305 25069
26538 24916 26441
26747 25036 26207
26156 25127 26532
27098 24731 25990
26289 25623 25952
26505 25298 26245
27248 24940 25549
27202 25204 25201
26903 24306 26390
26525 25538 25355
26390 24905 26534
26618 24720 26437
26094 25398 26364
27340 24872 25506
26339 25069 26481
27120 24934 25697
27095 24501 26034
26787 25355 25927
26225 25252 26441
26199 25604 26033
26696 24521 26327
27022 25326 25043
27303 24961 25431
27281 24512 25714
27110 24715 25881
26239 25109 26508
27169 25140 25562
26168 25555 26104
26384 24969 26523
26086 25586 26167
26300 25343 26305
26357 24886 26543
27075 24132 26294
27429 24955 25270
26911 24256 26431
26560 24922 26433
27313 24174 25727
27145 24529 26002
27439 24802 25421
26418 24404 26506
26046 25563 26252
26689 25552 25223
26411 24296 26576
26960 24738 26073
27017 25266 25336
27002 24246 26352
26061 25498 26242
27075 24696 26026
26181 24929 26584
26874 24437 26243
26630 25609 25036
26207 25530 26132
26831 24361 26359
26054 25513 26303
26727 25279 26077
26847 25386 25468
27216 24033 26061
26267 25579 26089
27051 24475 26200
26624 24080 26582
26968 24088 26453
27040 24407 26239
26817 24849 26249
26718 25546 25117
26258 25263 26383
26436 25510 26089
27230 24900 25566
27181 24309 26066
27057 24781 25979
26566 24363 26443
27271 24913 25527
27255 24815 25645
27109 24805 25937
26855 25053 26124
26427 25162 26379
26983 24350 26333
26720 25475 25233
26600 25135 26313
26694 25560 25135
26917 25397 25189
26857 25298 25876
27262 25132 25229
27136 24142 26215
27349 25041 25218
27090 25219 25306
27226 25040 25466
27066 25237 25266
26175 25098 26518
26128 25413 26318
26865 25249 25946
26737 24478 26292
27273 24948 25481
27016 25086 25830
27360 25008 25255
26591 25206 26282
26996 25374 25121
26761 24388 26329
26039 25314 26440
27351 24996 25349
26620 25601 25063
27284 24448 25671
27196 25196 25242
26961 24318 26341
26370 25420 26113
27213 25091 25318
27223 24765 25718
27025 24285 26269
27038 24737 26036
26649 25286 26138
26221 25184 26463
26185 25455 26278
27122 24330 26186
26963 25116 25761
26825 25330 25945
27266 24860 25618
27095 24593 26020
26842 25390 25474
26350 25221 26408
26165 25342 26347
27362 24677 25627
26839 25178 26040
26948 24380 26291
27060 25022 25673
27320 24894 25521
26924 25172 25924
27436 24859 25453
26251 24818 26597
26448 25087 26406
27269 24925 25555
27107 25065 25627
26784 25483 25110
26966 25273 25504
26943 25299 25375
26243 25463 26248
26202 25542 26153
26196 25493 26220
26503 24170 26595
27010 25346 24998
26779 24044 26514
26364 25398 26232
26576 24161 26568
26782 25485 25130
26911 25259 25845
26177 25171 26484
26658 24917 26345
26404 24950 26481
26910 24820 26139
27373 24904 25448
26951 25115 25767
27186 25089 25380
26732 24907 26323
26382 25397 26160
27300 25013 25350
27238 25127 25277
26945 25151 25816
27177 24223 26157
27279 24966 25447
27131 24987 25613
27088 25249 25078
27173 25109 25356
27061 25186 25578
26317 24799 26551
26959 24769 26115
27282 24236 25983
