430 48.6927
28513 26416 26721
27714 27529 25932
27645 25450 28092
26946 27810 26326
26916 25783 28380
26286 26833 27829
27574 27524 26171
27401 27654 26003
27729 27449 26052
27470 25497 28178
27182 27694 26236
26316 26857 27733
27396 27715 26079
27053 27774 26277
27191 27711 26208
26344 27213 27416
27926 25755 27729
27773 27433 25993
27761 27437 26151
27181 27766 26128
27045 25906 28366
28139 26179 27355
27699 27561 25969
26676 26022 28317
28503 26430 26709
27138 27681 26264
26394 27053 27670
27486 25887 27937
27629 27005 26841
27001 27740 26356
27348 27651 26211
28404 26557 26696
27116 26072 28199
27521 27578 25957
27213 25638 28295
27058 25734 28379
27080 26917 27402
26586 26364 28088
27527 25721 28117
26413 26981 27667
28066 26309 27248
27803 27401 26053
27327 27616 26288
27958 27083 26373
28034 26108 27444
27749 25805 27872
28118 26034 27520
26915 26281 28072
28249 26245 27128
27449 25830 28165
26532 26423 28115
26780 27357 27042
26635 26269 28145
27420 25605 28188
28057 27187 26094
27684 25547 28028
28453 26357 26892
26879 27233 27163
26304 26900 27733
27552 25713 28061
27374 25933 28135
28124 26092 27384
26468 26977 27657
26352 27165 27438
27173 27376 26688
27270 27605 26381
27976 26936 26619
27699 25672 28003
27335 26842 27264
27639 26162 27767
28301 26149 27163
28431 26477 26763
28271 26053 27284
26809 25956 28345
26971 27730 26446
27859 25618 27854
27144 25921 28234
27246 27484 26435
27747 25514 27960
28023 26429 27197
27980 27107 26310
28197 25976 27310
27812 26045 27635
28159 26947 26337
27873 25553 27944
27999 25682 27745
27746 25904 27788
28080 26192 27311
26725 26831 27754
28275 26637 26561
26423 27118 27577
26702 26347 28106
26812 27465 26913
28205 26849 26518
27504 26687 27299
26720 26472 27970
27102 27701 26360
28151 26745 26704
26288 27153 27484
27279 26117 28012
27844 25765 27781
26371 27141 27439
27771 25818 27846
26996 26126 28240
28436 26566 26398
26618 26870 27653
27558 26079 27779
27934 27014 26612
26603 26929 27646
26746 26208 28222
27429 27321 26607
27381 26611 27478
28075 25850 27532
27127 25593 28346
26591 27144 27340
28359 26456 26808
28354 26597 26458
27273 25687 28264
27295 26112 28036
27268 27672 26313
26789 27346 27155
27905 27228 26145
28367 26407 26886
28320 26274 27071
26590 26087 28253
26869 27648 26590
26435 27124 27456
28417 26721 26437
26886 27582 26652
27918 26685 26970
28311 26254 27101
26767 26422 27951
27127 27337 26812
26457 27271 27413
27169 26974 27273
27266 25771 28268
27890 27308 26318
26757 27395 26958
27025 27380 26831
26687 27426 27138
27089 27553 26671
26550 27630 26648
26737 27265 27206
26378 27033 27686
27437 25946 28024
26449 26450 28052
26657 26932 27605
26904 27157 27142
28139 26002 27379
27944 26782 26660
27158 26300 27920
27757 26260 27476
28095 26142 27404
28486 26430 26820
27869 26200 27619
26472 27244 27333
27466 27239 26685
27806 26586 27240
27232 27498 26627
28174 26497 27023
27587 27513 26108
27047 27726 26301
26953 26265 28127
27115 27658 26465
27538 27538 26270
28101 26506 27079
27256 25665 28282
28356 26574 26636
26938 27137 27118
26560 26631 27897
26667 27188 27299
28348 26579 26774
26575 26565 27964
27967 26445 27226
26988 27280 27011
26668 26480 27991
28128 26549 26876
27137 25988 28289
27608 25527 28089
26715 26663 27874
27887 25568 27809
27963 26029 27590
27534 27013 26900
27528 27577 26104
27913 26908 26745
26539 27174 27303
27110 27637 26483
27126 25596 28333
26506 27037 27559
27569 26572 27515
27946 26136 27627
27222 25813 28229
27064 27698 26456
26893 26330 27980
27481 26168 27830
26518 27255 27282
27470 27424 26426
27120 27571 26467
26802 25983 28308
28253 26379 27062
26788 26998 27508
26966 27463 26729
26502 26625 27927
27009 27411 26790
28337 26731 26476
26851 26762 27692
28230 26736 26585
26617 26776 27840
26376 26820 27821
27003 27364 26936
28043 25864 27542
27876 25526 27812
27910 26286 27363
28457 26294 26988
26860 27616 26753
27542 27133 26735
27991 26379 27313
26860 27677 26554
26440 27073 27569
28089 25647 27644
28182 26780 26563
28234 26514 26816
27099 25738 28307
27550 27386 26596
28468 26554 26611
27668 26884 27002
28327 26660 26509
27390 26484 27597
28227 25842 27369
27203 27629 26323
27509 26986 26909
27407 26371 27709
26837 26879 27527
27778 25967 27718
26691 27148 27223
27758 26234 27505
28217 26825 26409
28477 26311 26947
28281 26434 26918
27688 26354 27538
27219 26003 28143
28306 26412 26943
27073 27722 26401
27012 27555 26631
27388 27417 26656
27342 25613 28247
26930 27739 26404
28342 26633 26757
27733 25894 27861
27662 26049 27854
26983 27767 26388
26946 27259 27095
26349 27181 27450
27675 27329 26347
28375 26224 27050
27703 26854 26981
27369 27565 26419
27878 26771 26897
27616 27327 26394
27651 25572 28017
27644 26987 26867
27484 25576 28175
27854 27089 26474
27366 27284 26716
27207 25854 28213
27146 25791 28276
26799 26860 27549
27209 27724 26132
27035 27458 26683
27659 26218 27632
27742 26651 27191
26550 27032 27563
26693 27079 27463
26611 27294 27176
26844 27074 27392
26638 27507 27007
26856 27528 26834
27031 26655 27575
27288 27682 26113
28391 26669 26441
26646 27295 27171
27834 26525 27239
27361 25950 28007
27053 25766 28337
27145 26545 27583
26455 26705 27882
27469 25916 28045
27850 27099 26541
27621 27126 26669
26898 26158 28247
27974 26961 26593
28010 26156 27448
26847 27299 26950
27788 26251 27389
27792 26529 27347
27303 26676 27437
26711 27095 27321
27508 27598 26336
27583 27217 26672
27259 26647 27440
27670 27228 26499
26477 27414 27179
26651 26995 27594
27778 25883 27806
27161 27553 26530
27095 27652 26544
27645 26583 27398
27076 27494 26681
27801 25598 27916
28219 26790 26507
27601 25585 28069
27238 26753 27489
28015 26436 27186
27882 25844 27724
27553 26746 27212
28190 26378 27074
26520 26620 27905
26823 26222 28204
27575 25653 28099
28261 26487 26966
26484 27168 27384
26404 27136 27613
27116 26491 27759
26925 27488 26866
28156 26534 26949
27864 26956 26793
27151 26467 27683
28045 26740 26812
28068 26607 26863
28245 26700 26574
28135 26319 27150
27418 25550 28208
27515 26253 27703
26673 26865 27632
27952 27201 26303
27359 25569 28219
27722 25825 27868
28293 26763 26538
27796 25832 27835
27580 25877 27894
27680 26109 27700
28104 26897 26579
26832 27352 26977
27759 25989 27647
26669 26463 27979
27468 27443 26420
27339 26628 27431
27607 27027 26780
26636 26802 27801
27250 27330 26742
26573 26968 27652
27707 26948 26801
28136 26712 26821
27821 25737 27798
26998 26173 28156
28038 26560 27056
26591 27060 27499
28288 26404 26947
28211 26702 26773
28481 26440 26722
26792 26014 28268
26684 26382 28023
27735 27220 26488
28396 26211 27008
26797 26230 28206
26479 26323 28168
27831 26392 27304
26607 27018 27585
26492 27045 27556
28113 26765 26666
28379 26465 26769
27222 26532 27674
27235 27492 26569
26903 26903 27493
27838 27169 26525
27960 25819 27713
28336 26083 27112
27809 26811 26923
27249 25939 28158
27239 27199 26880
27535 26845 27015
27287 27705 26121
26772 27679 26497
26651 27289 27230
28004 26759 26941
27229 26757 27540
28398 26130 26989
28017 25695 27668
27444 25941 27918
27313 26304 27812
28390 26175 27046
27711 27248 26427
27240 27274 26878
26643 27204 27294
26985 26694 27605
27286 27255 26848
26653 26893 27640
27519 27645 26283
27004 27207 27104
27146 25700 28305
27605 27317 26603
27408 27590 26386
27200 26358 27748
27189 25787 28297
27888 27070 26453
26677 26521 27932
26497 26892 27732
27352 26110 28141
28266 26463 26972
27042 26352 27867
26830 27715 26492
26740 27042 27420
28086 26530 26986
27783 26014 27644
28333 26338 27034
27545 27063 26724
27298 25660 28293
27200 27542 26508
27719 26386 27422
27028 26796 27469
26961 26713 27610
27196 25654 28304
26492 27269 27288
27190 25875 28266
27785 25852 27798
26814 27392 26998
28012 25966 27578
27257 26207 27885
27074 26199 28030
27161 26141 27906
28421 26398 26849
28058 26419 27088
28052 26567 26994
26976 27396 26933
27899 27045 26611
27896 26747 26949
27019 27178 26988
27612 27311 26466
27696 26948 26885
27596 27207 26667
26556 26964 27681
27108 27567 26490
27332 26342 27777
27576 25507 28091
27261 27041 27113
27320 25686 28169
27328 27222 26855
28173 26169 27327
27021 27396 26863
26817 26816 27680
27827 26366 27328
28223 26268 27143
28040 27150 26119
27913 25835 27772
27148 27644 26349
27854 26873 26856
27211 26876 27320
28221 26397 27070
27604 25697 28055
27403 27653 25961
28240 26341 27093
28108 25659 27567
26958 27691 26466
27423 27406 26540
26400 26782 27932
28167 26816 26654
26838 26377 28070
27591 26288 27651
27411 25683 28203
28178 26111 27345
27308 27079 26958
27826 26968 26705
26951 26672 27860
27619 26724 27047
26705 27240 27208
27858 27066 26496
26929 27641 26572
27117 27686 26333
27725 27509 26278
27302 26954 27293
27882 26622 27150
27364 27539 26428
26919 26888 27468
26705 26337 28137
27541 25615 28131
26711 27123 27278
27945 27113 26407
26604 26553 27983
26799 26616 27902
28138 26675 26782
27203 27153 27029
27195 26121 27949
28382 26347 26939
28058 26633 26929
27186 26384 27774
28216 26350 27091
28292 26290 27076
