52314 3542.04
18496 17411 17438
17432 18715 16271
17192 16640 19174
17098 16687 19219
16602 19240 16691
16092 19013 17637
16105 18967 17670
16165 18474 18256
17281 18953 16359
17559 18589 16409
16365 18991 17331
17146 16672 19203
17605 17047 18749
16184 19028 17360
16219 18944 17567
16406 18508 18069
18466 17430 17476
17198 18996 16320
17380 18720 16304
17315 16825 19075
17791 16988 18549
17164 16702 19196
18488 17354 17572
17363 16653 19052
17099 16771 19171
16275 19104 17187
17421 18523 16935
18174 17830 17208
16485 19054 17248
16431 18571 17998
18347 17268 17715
18403 17469 17453
17329 18803 16510
17372 17535 18599
17929 18022 17339
16290 18600 17977
16756 19120 16843
17563 17085 18721
17170 16746 19169
18387 17460 17542
18447 17478 17438
16832 17732 18563
16974 19039 16583
18200 17482 17785
16978 19078 16532
17734 18395 17119
16443 18977 17365
17910 18149 17232
16419 19068 17026
18107 17770 17534
16231 18742 17913
18049 17287 18064
16710 19200 16559
18321 17579 17507
17396 18626 16974
17590 17055 18771
17050 19092 16496
17239 16802 19123
17335 17924 18182
16725 18102 18279
16584 19132 16878
17876 17085 18354
17644 17228 18669
17802 17106 18449
16655 19205 16606
17020 18377 18012
17755 18245 17003
16620 19174 16800
17654 17661 18200
17059 17702 18520
18401 17520 17465
16720 17795 18582
16518 18344 18171
16964 19099 16449
17155 17187 18951
16557 18465 18024
17826 18019 17386
17212 18843 16700
17469 16968 18884
18025 17655 17769
16173 18937 17600
18459 17337 17595
18218 17449 17808
17772 18243 16967
17185 16851 19149
16881 19195 16457
16650 19232 16649
17326 16948 18989
17105 18530 17374
17332 17039 18975
16782 19150 16599
18282 17494 17611
17474 18680 16278
18274 17616 17350
17627 17166 18675
16596 18912 17304
17779 18119 17518
16500 18754 17660
17854 17777 17840
18038 17209 18083
17442 17011 18932
16940 18168 18166
16637 19222 16666
17922 17895 17580
18118 17675 17651
18102 17909 17106
17265 16719 19138
17917 17256 18314
16224 18427 18271
18415 17544 17417
17863 17886 17694
17193 16683 19164
17416 16866 19003
17599 17598 18341
16849 18379 17953
17520 17103 18812
16912 19079 16549
17289 17135 18862
17436 18441 17131
17742 17726 17890
17960 17567 18045
17349 17685 18264
17030 17072 19089
17954 18041 17197
17387 18261 17381
17262 16928 19078
18315 17594 17552
17300 17755 18285
16807 19141 16640
17539 16945 18846
17402 17668 18403
18428 17451 17603
17896 17987 17455
18187 17497 17793
17602 18435 16930
18256 17409 17662
17646 18291 17328
17407 18562 17051
16628 18635 17782
17942 17936 17291
17450 17142 18837
17872 17194 18391
16589 19147 16859
16537 18789 17483
17234 16885 19126
16767 18537 17761
17981 17321 18125
17282 16840 19093
17309 17236 18823
