113960 3600
19094 16752 16404
17875 18552 14735
17250 15218 19225
15970 19495 15877
15796 15752 20019
14693 18994 17484
17458 18953 14923
17438 15270 19117
14737 18578 18198
14831 18864 17851
17945 15506 18639
17953 15384 18464
14793 18746 17984
15683 18935 17298
17144 15424 19239
14897 18719 17901
16695 15557 19539
17451 18906 14953
15844 19452 16317
16049 16134 19892
17501 15871 19028
17108 15326 19353
17522 18858 15382
16147 15934 19844
18731 16627 17050
16884 19247 15434
16308 17682 18235
18298 18115 15009
15999 18976 17006
15398 18326 18354
17272 16422 18951
18503 15712 17664
15980 15907 19986
18147 18439 15338
15663 19133 16830
15829 18308 18402
15574 17547 19183
18985 16893 16478
18622 17043 16843
17184 17712 17727
17688 18620 15479
18244 17364 17028
17476 15478 19050
18608 17721 15704
16540 15834 19608
17628 18819 15182
16013 15956 19959
18772 16502 17256
18353 16264 17755
15442 17971 18723
16180 16169 19697
17423 18860 15055
16941 15455 19463
16808 17910 18144
14809 18959 17617
17195 19074 15161
19015 16582 16889
15638 17411 19174
17580 18750 15229
15497 18192 18441
18526 17823 15203
18599 16470 17576
17428 18988 14988
18235 17069 17358
14930 17756 19161
16521 16119 19508
15289 18272 18553
16846 17989 17631
17623 15224 18957
18015 18020 16226
16431 18036 17773
15105 16926 19547
16416 19431 15614
19065 16596 16533
15555 18869 17490
17701 18506 16056
17622 15851 18850
17821 18596 15221
16785 19257 15686
15766 15977 20001
16562 17941 17915
18714 16097 17461
19048 16552 16637
17229 18086 17417
15080 17245 19314
16654 18856 16503
15472 19293 16759
18910 16442 16909
16973 18472 16264
17344 15695 19211
15318 17628 19093
14995 18443 18378
18259 15653 18119
18482 17747 15802
16721 17098 18838
16492 17565 18502
18333 17297 16833
15587 19363 16352
15185 18266 18628
15160 17173 19443
16317 17321 18794
16068 16341 19712
18963 16328 16991
17400 16466 18675
17204 19087 15127
18674 17268 16514
16451 15919 19640
17652 18141 16544
17795 18659 15144
16379 15578 19718
18461 17205 17325
18096 18251 15366
16775 16797 18909
16471 17962 17692
15306 19310 16803
18304 16494 17934
17929 18460 15009
15464 16980 19378
16504 15996 19573
18797 17387 16177
15748 17340 19144
16357 18099 18019
18451 16886 17507
18627 17670 15977
16344 16354 19578
16677 17163 18549
17587 18833 15101
18429 18051 15528
17290 15891 18972
15783 18124 18647
17369 16217 18783
17042 19169 15573
18421 17452 16717
15712 18919 17206
17011 15627 19219
16405 19390 15788
16098 17604 18899
15422 18767 17680
16257 16157 19761
16710 18644 16448
15200 18452 18206
17856 15840 18476
17769 17620 17153
15220 17932 18878
16674 18211 17184
16597 16392 19300
16901 16671 19002
16327 17356 18577
17894 18467 15113
17837 17378 17239
15777 17230 19195
17607 17854 17129
15937 16936 19475
16046 16430 19737
16765 15439 19527
16612 15766 19540
17867 18359 15445
17386 17797 17524
16730 18170 17554
16241 15724 19774
17625 16570 18269
17174 18729 15906
17479 18704 15516
15249 18408 18224
15059 19092 17102
18760 17506 16065
16035 16073 19924
18583 17740 16152
17713 18612 15497
17560 17950 17354
15273 18714 17747
17163 18737 16014
15333 17577 19149
16113 19350 16337
15855 18389 17972
17779 17598 17158
15621 17775 18661
16070 19403 16205
15909 15988 19940
15869 16317 19793
16601 17471 18333
18274 18235 15262
16827 18563 16569
17841 15940 18496
15367 17924 18760
16492 18214 17271
17379 15799 19145
15221 17898 19006
16864 19031 16411
14976 18635 18132
18865 16308 17190
18659 16274 17485
18438 17569 16435
18125 16518 17729
17282 16024 18858
17571 16040 18773
15126 18416 18433
17706 15352 18777
15992 17133 19308
17984 16285 18082
16263 16775 19335
18205 18120 16093
16817 15588 19413
15612 18588 17890
17330 18943 15467
18072 17399 17082
15889 18524 17800
17049 19009 15750
16999 18791 16247
15546 19363 16363
16984 15564 19328
18950 17004 16025
15916 17480 19018
18103 16352 18000
15699 17184 19261
18476 16825 17447
18121 18240 15637
16136 19280 16122
18319 17999 15715
16370 19474 15811
16921 16659 18978
16350 15911 19667
16547 18848 16870
17737 18079 16659
19079 16379 16606
16119 19108 16544
18531 16219 17639
15928 19413 16187
16735 16947 18986
17061 15337 19357
15956 16374 19754
15594 17148 19370
17414 18839 15545
18647 17534 15863
16933 18398 17095
16879 19321 15629
18221 18276 15301
18158 16066 18165
18897 17285 16161
14939 17811 19039
15114 18987 17544
16773 16078 19273
18120 16676 17786
17659 18711 15258
17286 19059 15282
17665 18569 15560
17714 16196 18414
17105 17077 18586
16246 17657 18393
18687 16972 16864
16641 19217 15952
14949 18914 17747
15896 16869 19566
15799 16222 19816
16760 15818 19359
16951 18491 16681
15344 19129 16970
16227 19230 16201
17962 16483 17942
16396 19333 16037
18131 16589 17676
15355 18030 18730
18619 16539 17343
16752 19044 16135
16270 16009 19699
17973 18346 15506
18895 16957 16486
17912 17264 17961
18058 15669 18169
18366 17560 16537
18256 18177 15833
16859 17865 17900
17414 18429 16425
17310 16143 18818
18407 17021 17405
18856 16736 16742
18808 17302 16374
17997 17875 16306
18821 17155 16387
17026 17769 17875
16084 16401 19681
17918 18343 15939
16203 19383 16115
17957 18159 16304
14909 18117 18738
16165 16258 19672
17222 16094 19080
15861 19156 16653
18063 16907 17589
17604 16643 18102
16568 18546 16981
15815 19493 16146
15045 18551 18297
17824 18534 15666
18720 16792 17063
16622 18678 16879
18386 17642 16170
16700 17527 18315
17464 16361 18706
15381 18888 17385
17348 18673 15992
16633 19241 15848
16409 19340 15762
17179 18287 16562
18877 16622 16813
18927 17007 16380
17671 16065 18601
19032 16409 16686
15412 18227 18472
18226 15737 18030
17548 18182 16920
18764 17428 16041
16793 17419 18427
16444 17175 19107
18412 16045 17957
16289 16719 19339
17882 18445 15319
17598 16991 18097
18636 16528 17176
15913 16189 19904
15068 18691 18066
16680 18631 16950
16582 16804 19025
16280 17588 18606
18196 16134 18057
19036 16720 16594
14902 19018 17423
18280 17613 16376
18047 15655 18213
18831 16555 16928
17125 19120 15314
