164541 3600
16696 14897 15648
16268 15495 14800
16897 16843 16161
15400 16081 19814
15772 17954 16892
16864 15700 18011
14226 16114 19179
16400 18522 14571
15564 16590 19230
13875 17433 18189
18164 16057 14836
17906 18080 14492
16294 16570 18567
14616 18962 16497
14565 18152 17610
16689 15163 17794
17532 15598 18388
16798 16886 14807
17314 15249 16035
18216 15246 16092
14266 17271 16645
15530 15322 19705
15473 18101 13605
17947 14742 16400
16345 15449 16822
16800 16341 16568
15253 18191 16352
14593 18140 16047
17114 17072 15902
15167 16388 17830
15515 16394 18822
17525 15246 15971
16888 18349 14618
15448 17245 15571
15665 18591 15724
17843 16302 16670
17566 17966 15197
14369 16444 17357
16388 16486 17703
15894 14899 18676
17021 18012 15697
18137 16603 15219
15534 15928 19049
18280 15812 16606
15905 18517 14347
15266 18049 16973
17154 14390 16988
17809 17894 14888
17873 15556 15760
16689 16274 15939
15623 17423 18397
15503 17825 17986
15530 15351 19679
15294 18195 18007
14532 15126 17706
16035 17496 16058
14938 18956 15768
18391 17407 14888
16026 15936 19232
14577 17760 16816
16714 15601 14971
14552 18605 15503
16935 17189 16115
17476 15688 17788
17492 17205 14245
17747 17503 15109
17008 17142 16420
15678 16088 19150
15628 16063 18592
18496 15524 16380
16024 17992 15521
15229 14869 17475
14343 13661 18083
16427 18595 16137
15712 17153 15264
13692 16633 16959
14336 15940 18719
16236 14546 18144
15496 17489 17546
16892 17351 13524
18123 15101 15304
16464 18259 15718
16124 16917 17499
15448 19137 15840
15548 15519 19721
15046 17616 16788
14325 18494 16135
14593 18413 15382
18093 17515 14864
15936 17821 18144
14590 15206 19069
16672 15840 16712
15172 17185 17884
17547 17017 15553
17578 16380 17037
17025 18384 15212
14964 18350 15023
14118 15157 19155
14762 19087 16760
16345 16176 18324
15426 16822 17542
15063 16280 19410
16314 16262 16987
17402 17505 15354
14132 17819 16393
14531 17427 16885
17809 15834 16196
16250 14810 17444
17934 16727 14973
15958 18458 15115
17224 17561 15682
17680 15125 17456
15770 15950 19758
15192 17836 17934
16789 18347 16233
17141 17970 14631
17620 15814 16060
14477 17878 17171
15182 15809 19273
18040 15683 16223
17076 16828 16417
15468 16184 18225
14500 18322 17278
15319 17628 17569
18123 15207 17396
13568 17707 17144
16463 18971 15200
14294 17520 17593
18211 16629 15166
15481 14113 17800
15050 16816 17573
14541 15414 19077
15552 17946 15186
16761 15594 16271
17577 16307 16431
15089 16500 17321
16333 17121 16765
16927 15964 14521
14036 16563 17525
14850 17489 17492
16542 15372 18689
15394 17300 14508
16499 15302 17508
14287 18613 16860
14861 17084 15068
15113 18878 16602
15425 15343 17200
15506 18281 14866
16267 17667 16271
15391 17300 17958
16657 17704 17525
16111 16732 16214
16132 16116 18054
15862 15301 18856
14700 14245 17020
15209 15675 17074
16312 18588 14782
15681 16847 17407
13648 16081 18670
16960 16864 13814
15658 18599 16013
15471 15023 18447
16386 16808 15509
15029 17241 17447
16994 17263 18060
14778 17872 17842
18788 15930 16563
14861 17983 16952
15236 19197 16414
17230 14704 16825
16044 15936 17087
15534 18553 17041
14831 16228 17211
15379 16135 18504
16196 16378 18788
14350 17851 16068
14266 16885 17831
17972 16518 16379
15566 18696 15766
14974 15163 18638
17574 15306 16897
13278 17163 15586
17036 15368 16487
15976 17466 17199
18563 16011 16511
15799 16210 18793
14002 15943 17972
16101 18436 15949
18220 17865 15356
17924 16974 14291
17501 17203 14310
15033 16769 17417
16678 16965 15429
15720 15605 18956
15285 15289 18840
14614 19179 16970
17728 16398 16785
18178 15931 16405
16601 16860 15765
14631 18591 15175
14581 17285 17254
16627 17330 15670
16989 17426 14507
16081 17386 16158
16129 17581 16532
16780 18358 14830
14805 17709 17583
15071 17769 16490
17573 17287 14685
17310 17321 16044
16449 14198 18393
16953 15520 18759
16758 17892 15191
16833 15729 19021
18067 16203 16055
15205 14916 18306
14549 18334 15097
16194 14563 17155
15485 15901 19151
15722 16552 18655
15504 15293 18362
16384 17738 13601
15417 15966 19198
15701 17252 15778
15732 16949 16072
16051 18875 15300
15078 16584 18343
14928 15504 18846
14298 18675 16713
14060 16803 17125
16505 15010 18081
16677 17321 17103
13073 16768 16349
15652 18103 17076
16809 17133 14301
14370 14897 18188
17643 17237 15713
14726 16861 17226
16654 15734 17956
14886 16487 18250
14630 16913 16997
17737 17074 17544
15794 15947 18668
18158 17174 15647
13866 17506 17807
17183 16870 17422
14278 18855 16017
14961 16970 18455
17262 16441 16812
15730 17593 16399
15874 16549 18715
14615 17015 18269
