7091 1141.4
29347 26309 25999
27080 25134 28570
26225 25684 28767
26481 25303 28823
29083 26799 25412
27482 27880 26190
28836 26965 25501
28728 27065 25590
27420 26574 27414
29132 26654 25646
27204 26457 27621
27890 27542 25982
27138 25337 28533
28888 26173 26495
27214 26141 27992
29083 26799 25412
28764 26993 25848
29005 26590 26217
27565 27670 26485
27862 26980 27012
27703 26123 27721
26779 25216 28792
28297 27291 25947
26298 25689 28742
28849 26961 25567
27083 26869 27386
26896 26209 28214
27826 25608 27805
28535 27208 25839
27592 27809 26263
26225 25684 28767
29062 26712 25825
27220 25178 28512
27247 27019 27123
28683 27017 25946
26631 25936 28342
27544 27267 26793
26783 25380 28716
27556 27701 26410
26947 25231 28772
27759 27617 26237
27407 26952 27098
28409 26487 26600
26438 25991 28494
29229 26465 25680
26867 26738 27656
29179 26681 25510
27766 27734 26222
26331 25721 28652
27662 27569 26514
26558 25819 28601
27541 26544 27457
26595 25505 28693
28147 26835 26682
26522 25723 28649
28127 27363 26259
27748 25703 27892
26739 25389 28726
27909 25806 27538
27003 26413 27931
29273 26399 25701
27155 25314 28425
27424 25499 28263
26443 25583 28757
28627 27047 26115
27314 25650 28286
28739 26394 26402
27738 25900 27803
28338 25667 27174
27274 25422 28418
28955 26899 25720
26817 25904 28456
27978 25439 27694
26369 25744 28619
27625 27404 26720
28148 26364 27337
28930 26722 25957
27666 25462 28122
28558 27111 25879
27328 25982 28097
28772 26189 26542
28325 26805 26376
27504 27474 26806
29079 26567 25770
26658 25916 28461
27442 26078 27775
27423 25367 28381
27067 25469 28609
27447 26840 27247
27895 25865 27532
28273 27321 25896
28874 26218 26454
28272 27318 26182
26581 25406 28794
28710 26199 26624
27017 25139 28733
29219 26349 26026
28023 27493 26198
26719 25761 28547
27928 27404 26433
26925 25857 28386
28604 27061 26102
27719 26227 27587
27031 25790 28360
27962 26922 26825
27225 25275 28481
27582 27503 26561
28364 26240 27023
26941 25729 28448
27286 26893 27276
27994 26686 26901
27391 26315 27580
27169 26040 28127
26908 25521 28581
27846 26683 27324
27474 27477 26827
28464 27171 26049
28428 26931 26367
26481 25303 28823
29302 26225 26001
28909 26726 25791
28939 26669 26085
28016 27390 26489
28936 26795 25752
28016 26693 26857
28187 26894 26469
28053 26642 26978
26828 25887 28399
27629 25929 27845
29078 26248 26159
28471 26108 26850
27632 26821 27159
27523 26306 27668
28196 26614 26880
26871 27027 27218
28068 26045 27516
27109 27327 26855
28978 26866 25698
27665 27764 26354
26978 25568 28519
27601 27634 26556
29222 26329 26078
28690 26295 26772
28647 26698 26291
28133 27060 26392
29149 26440 26129
27424 25845 28156
27808 27429 26304
29347 26309 25999
28646 26519 26421
27580 27647 26419
26853 25526 28629
28618 26416 26748
27343 27137 27061
27318 25707 28196
28497 26532 26297
27134 25825 28306
26698 25435 28713
27636 27770 26186
27457 25549 28154
27795 26137 27551
28229 26442 26918
27152 25963 28179
26547 25518 28738
27258 26283 27890
27762 27596 26287
26690 25658 28557
28575 26905 26168
28033 27305 26526
26838 25577 28551
28048 27185 26404
26995 27336 26884
26408 25709 28673
26550 25557 28686
28114 26063 27466
27570 25955 27941
27530 27817 26282
27538 27839 26270
28175 26400 27061
29018 26720 25815
27614 26776 27288
28221 27010 26435
28543 27113 25921
27951 27020 26632
29132 26654 25646
27608 26888 27074
26369 25744 28619
28794 26475 26263
28694 26838 26074
27060 25635 28469
27935 27332 26659
27484 25410 28231
27289 25988 28095
28206 26303 27184
28485 26631 26496
27929 26746 26958
27269 25177 28525
28055 26759 26837
27302 27157 27007
27482 27880 26190
27049 26383 27865
28145 26420 27218
28449 26050 26992
27183 26573 27688
27492 27244 26908
28157 27356 26194
28559 25999 26956
27258 25542 28376
27032 25976 28309
28503 26434 26528
26875 25544 28562
28349 27034 26281
27643 27445 26625
29022 26452 26156
27685 27739 26154
27614 27606 26380
27134 26091 28059
27974 26603 27248
27782 27530 26176
27527 27574 26630
26408 25709 28673
28039 27238 26613
26966 26437 27738
28781 26524 26331
26663 25589 28637
28726 26319 26538
27188 26703 27471
29041 26496 26116
27435 25697 28145
27832 27011 26767
27225 25275 28481
27223 25781 28312
28312 26016 27309
28909 26726 25791
28876 26675 26148
28023 27345 26499
27184 25911 28235
26577 25909 28473
27082 27165 27109
27932 26054 27474
28972 26856 25726
29014 26609 26093
27374 25162 28434
27791 27076 26665
27982 26696 27075
29151 26625 25764
29229 26465 25680
28859 26677 26014
26670 25585 28628
28340 27109 26316
26661 25884 28573
29101 26037 26168
28239 26724 26618
27717 27533 26337
26612 26318 28074
27013 25756 28404
28381 26999 26252
28400 26281 27002
28114 27402 25982
28157 26654 26937
27538 27839 26270
26769 26428 28021
28833 26459 26354
28096 27126 26497
28786 26962 25568
29165 26463 26009
26947 25231 28772
28435 27181 25908
28106 27233 26321
27730 27248 26665
26481 25303 28823
27687 27428 26523
27508 25699 28012
27681 27092 27056
27570 26421 27365
28101 25796 27502
26773 25394 28703
27798 27522 26054
27952 26619 27313
26298 25689 28742
27681 27092 27056
27363 26264 27729
26733 25397 28740
27374 25162 28434
27567 25488 28053
27427 25821 28008
28353 25709 27037
28523 26461 26518
26501 25643 28670
27363 26264 27729
27667 27221 26843
26866 26506 27738
27606 26099 27750
27939 25624 27693
29101 26037 26168
27687 25696 27937
26612 26318 28074
28468 26772 26578
26325 25752 28621
28856 26915 25915
