50083 2280.87
24083 26957 25664
24982 25260 27997
27591 27017 22594
28604 24352 25338
26999 27527 25398
27468 24034 27187
25947 27554 26049
25328 26438 25634
26970 25922 26915
26728 26885 22412
26865 24093 24736
26533 27049 25185
27215 23393 26737
26592 24988 25607
25327 22811 27906
28346 23450 26288
28944 24691 25997
27799 25904 24728
27573 23749 26898
28047 26464 24236
25987 27201 25111
25511 27823 23981
25924 23414 27585
27423 24896 25750
25601 26361 26173
25850 24961 22757
24907 24327 27502
25066 23674 26819
28287 23862 25383
26984 24446 24568
26213 24632 28014
25237 25415 25493
25962 24962 27355
25960 26809 25643
27805 24440 27239
28774 24880 24743
29083 24719 24244
28122 24329 23161
27591 26369 25498
27725 26275 23911
26895 24390 27100
26596 23024 27831
25642 23688 28175
25923 26854 24623
25789 27558 26090
28245 24273 26886
27659 24957 23859
25132 27801 25239
25658 25712 26232
25982 27233 23946
27616 24170 23371
25810 27457 26381
28205 26206 24087
27093 26589 23700
27721 26693 25209
25049 25843 27874
26555 26121 27390
23135 24521 24513
25833 26100 23995
25557 22999 26909
24734 26688 27398
26962 23645 24430
24787 25968 26992
26008 23414 26832
25834 22038 26818
27332 22747 26254
25585 23132 27820
27087 25604 23465
24391 26005 26630
25150 23525 28035
26576 25052 23557
27966 27490 25258
24721 23328 26499
28591 26087 25053
24094 26392 26577
26197 27515 24003
24673 27093 26262
24980 24241 26101
27652 26692 24293
25997 23899 27155
26996 23611 27691
27075 26933 24594
25960 23331 27617
27364 27048 24636
28095 25990 26580
25503 27670 24004
25249 23690 26984
25271 26611 24983
26419 27703 24734
25730 26776 25198
26717 26506 25665
24934 21980 26401
25977 23108 26124
27236 23753 26935
25363 27524 25758
25921 24133 28660
29358 24834 24859
26999 23908 26668
25250 26172 26083
27181 25519 23028
28497 25408 26165
26322 28357 24707
25300 26556 26098
27644 25000 25494
27658 25260 24756
28837 24823 24942
27807 23822 25800
26248 25499 27020
24834 26824 25403
26588 28116 24249
25463 28124 24100
27775 26882 25140
26915 23633 27173
26254 24666 27528
25071 24994 26764
26358 24002 27513
26272 26087 27024
24078 24493 26636
27999 25997 23759
26229 23525 27580
24766 25352 25958
24868 27792 25165
24560 22402 25703
26591 28221 24249
26323 23545 27866
24953 24008 22236
28101 24484 25532
24205 26986 24054
26402 26944 24840
24505 23387 27304
25133 27414 24165
28737 25549 25924
26124 27112 25324
24456 22859 24616
28062 24683 24526
27035 23662 26734
21444 22019 25355
27533 25526 25092
28474 27062 23950
26261 24581 28433
26840 27527 24978
21980 22615 25366
26911 24400 25871
27743 24375 27043
29113 25159 24508
24591 22135 25927
27347 24132 28008
28554 25269 26258
28789 24467 25498
27613 27609 25289
24351 24233 25793
25552 28308 24901
26420 28009 24171
23505 22122 25260
27206 25665 25523
27412 24369 25653
27684 25809 26394
27664 23291 26956
28521 27134 24635
25919 25770 25983
26972 24699 25553
27374 24636 26520
26665 23935 24082
27911 23415 27041
27598 26781 25000
27060 25873 26221
25379 23837 27623
24960 25965 26374
25203 27002 24341
27384 22927 26319
23876 25955 26209
27530 27245 24324
27376 23802 27910
25734 27430 26777
25953 27787 23506
24994 24887 28100
26029 24926 24164
28040 24406 24724
28286 25970 24638
27347 24914 27537
25284 25373 26532
25667 25333 27982
25708 27595 23823
25308 27823 26613
24816 27094 26812
24237 25453 25564
27010 27581 24231
26267 26456 22924
24842 26358 27658
25323 24561 28221
25096 26155 25006
25333 23567 26040
27777 23415 24049
24944 27553 26089
27292 24886 26097
27492 23848 27095
25721 25214 21438
25817 25219 25584
24568 26858 25718
27590 26968 24063
25887 26657 27736
25639 25230 27190
25692 21827 24635
24765 27007 24571
25704 26448 27840
26617 27844 24081
27638 26827 23834
26237 27420 25451
24983 24875 27115
26455 23200 27738
27244 24928 23441
25866 27282 23238
27525 23256 27467
28522 24271 26317
28372 25019 24849
25334 24921 26729
28182 27418 24484
27709 26337 25391
29121 24479 25481
24567 26457 27154
25902 24329 27989
24672 27416 24743
25819 27739 24274
25931 23988 27938
28143 27510 24658
29246 25660 25176
25062 26648 23997
27686 26927 24845
27486 24269 25503
26696 26879 25434
25168 26654 26348
27335 24393 27122
26840 22466 25757
26353 26454 25844
26868 27311 24997
26282 22838 26799
26473 24354 27528
26839 26635 24149
25997 24730 27268
27772 25862 26747
28052 24560 25318
27107 24987 26016
24528 24747 23373
25637 25598 26295
27235 25504 23710
28389 25859 24485
25801 22882 27733
25771 27775 24340
26576 26464 26594
27615 27725 24272
26937 23481 26978
26649 26422 26636
27734 24560 27272
25989 26232 23842
25007 26444 25120
26302 24395 25788
27444 24631 27378
24204 24884 27620
28048 26378 24237
25723 25386 25286
27653 24296 25481
25097 27689 24612
29567 25205 25551
27164 23902 27932
26709 24976 27003
25791 22578 23624
25140 26377 26681
26473 26743 26642
26020 27360 23354
26175 26535 23424
26485 24038 26368
26512 23584 24307
27220 27556 23774
25686 24159 28139
25059 24317 28257
25952 25929 26323
28346 24532 26415
28227 25983 24342
25887 25505 27232
25375 25333 27627
27065 25771 26060
25455 26408 25910
25329 27483 23508
24170 25824 25809
28427 26383 25893
26957 27396 24145
25124 27768 23417
24845 23705 21046
28722 25098 25950
27770 26636 26405
24611 21387 25231
26275 26375 24561
28108 24652 27010
24462 27209 23520
28284 23755 26995
25998 24756 26292
25114 25872 27425
26843 26855 24723
26767 28251 24183
25461 22561 25397
