31296 638.218
3772 2986 3406
3432 4061 2943
3331 2798 3309
2938 3683 3307
2985 3051 3633
3504 3917 2885
3756 3203 3321
3080 3545 3348
2839 3772 3089
3167 3340 3218
3113 3199 3649
3047 3933 3260
2808 3750 3541
3527 3973 3086
3513 3680 2904
2713 3611 3497
3170 3289 3654
3690 3266 3148
3094 3563 3455
3774 3421 3027
3862 3222 2899
3358 3877 3070
3368 3905 3136
3553 3762 3126
3675 3090 3712
3665 3378 3396
3371 3282 3690
3870 3384 3369
3535 2884 3611
3535 3304 3130
3351 2936 3781
3412 3431 3115
2592 3454 3357
3534 3256 2695
3342 3614 3292
3264 3816 3127
3499 3956 3117
3531 3696 3080
3020 3122 3269
2871 2662 3608
3348 2981 3746
2948 3458 3041
3529 3745 3120
3714 3079 2877
2994 3166 3324
2745 3560 2894
3155 3537 3399
3027 3381 3607
3891 3436 2957
3530 3570 3241
2894 3690 3013
3457 3172 3746
3269 3445 3649
2907 3201 3721
3802 3705 2978
3501 3514 3364
3388 3052 3710
3346 3317 3751
3876 3489 3213
3531 3590 3456
2761 3654 3475
3235 3405 3645
3194 3259 3643
3361 3069 3851
3602 2849 3392
2958 3424 3333
3419 3112 3780
2742 3767 3247
3433 3575 3380
3043 3832 2798
3501 3401 3396
2948 3713 3536
3571 3120 3426
3270 3693 3085
3550 3566 2773
3357 3108 3782
3362 3915 3050
3551 3943 3143
3696 3100 3244
2869 3708 3324
2851 3357 3446
3728 3165 3403
2989 3286 3580
3504 2813 3252
3522 3387 2887
3918 3314 3395
3156 3341 3491
2939 3692 3219
3330 3713 3186
3593 3768 3209
3020 2955 3763
3883 3545 3178
2861 3250 3693
3222 3927 3304
3328 3481 3211
3488 3435 3307
2834 3819 2639
2741 3883 3326
3208 3488 3645
2944 2597 3478
3400 3484 3469
3447 2932 3342
3142 3426 3693
3839 3152 3287
3303 3250 3723
3223 2996 3014
3659 3087 3237
3363 3226 3708
2756 3041 3405
3748 3547 3224
2955 3333 2948
3346 3005 3633
2858 3223 3540
2754 3797 3150
3243 3072 3582
3583 3284 3561
3332 2932 3829
2988 3736 3302
3336 3560 3741
3660 3638 3390
3806 3198 2933
3686 3038 3366
3056 3724 2856
3233 3276 3677
3690 2975 3267
3612 3686 3004
3304 3254 3577
3557 3637 3540
3445 3484 3676
3914 3339 3116
3597 3114 3549
3358 3301 2751
3490 3558 2920
3373 3113 3677
3238 3816 3267
3653 2875 3264
3150 3708 3249
3044 3653 3519
2822 3759 3270
3523 3574 2742
3293 3617 2925
3269 3451 3603
3662 3601 3082
3489 3111 3632
3049 3663 3620
3554 3264 3621
3776 3309 3246
2540 3302 3063
3729 3256 3140
3555 3111 3080
3047 3592 3644
3736 2943 3220
3714 3499 3095
3756 3707 3312
3822 3062 3086
2947 3705 3169
2827 3803 3293
3697 2950 2776
3613 3846 3356
3091 3432 3635
2861 3818 2821
3237 3877 3255
3087 3755 3349
3552 2855 3365
3181 3900 3328
2682 3469 2536
3552 3744 3226
3388 2886 3569
2643 2967 3040
3162 3444 3284
2688 3647 3432
3119 3620 2981
3745 3429 3169
3774 3646 3021
3076 3032 3606
3299 3448 3641
3651 3154 3087
3072 3886 3387
3735 2887 3329
3150 3470 2891
3564 3596 2866
3553 3267 3034
3327 2959 3622
3466 3602 3057
3206 3684 2973
3476 3118 3519
3332 2797 3605
3906 3174 3103
3919 3092 3383
3447 3718 3055
3758 3086 3617
3483 3182 3420
2666 3765 3346
2962 3357 3435
3105 3921 2891
3243 3007 3551
3546 3489 3268
3283 3469 3404
3305 2984 3542
3122 3350 3637
3167 3026 3560
3155 3192 3699
3610 3456 3237
3227 3733 3283
3376 3730 3403
3197 3195 3693
3234 3312 3652
3904 3170 3278
3358 3178 2922
3304 3934 3092
3758 3585 3221
3443 3746 3420
2861 3756 3031
3384 3626 3484
3445 3376 3096
3566 3043 3528
2960 3754 3472
3377 3014 3329
3053 3807 2972
2924 4007 3201
3283 3364 3797
3322 3236 3548
3557 3108 3445
3334 3483 3333
3269 2796 3440
3450 3280 3666
3665 3786 3110
3386 3762 3128
3544 3883 3037
3808 3421 3225
3189 3232 3610
3014 3324 3562
3283 4068 2983
3573 3572 3173
3748 3356 2941
3497 3644 3042
3474 3271 3691
3128 3319 2896
3148 3838 2737
3247 3443 3639
3308 3475 3548
3372 3141 3709
2853 3339 3123
3014 4012 2958
2844 3998 3398
3010 3333 2927
3473 3542 2882
3292 4087 2950
3370 3095 3442
3478 3641 2821
2993 3506 3221
3484 3397 3479
3041 3467 3541
3615 3387 3045
3186 3837 3271
3689 3401 3528
3131 3243 3423
3470 3784 3198
3168 3776 2864
3570 3727 3342
3491 3451 3180
3432 3765 2997
3235 2966 3684
3273 3159 3774
3804 3043 3114
3328 3300 3537
3256 3409 3306
3639 3122 3207
3691 3317 3193
3066 3792 2677
3016 3408 3254
3754 3121 3120
3098 3981 3121
3883 3204 3194
3592 3157 3153
3898 3188 3272
2768 3836 3112
3714 3420 3368
3747 3575 3017
3866 3390 3406
3110 4028 2801
3187 3371 3712
3270 3683 3366
3221 3493 2840
3038 3533 3419
3572 2958 3579
3315 3751 3471
3367 3230 2960
3823 3283 3089
3032 3303 3692
3275 3415 3459
2992 3617 2897
3392 3966 3122
2896 3996 3274
3113 3591 3312
2830 3741 2989
3245 3292 3852
3377 3101 3567
3109 3592 3313
3089 3926 3186
