19612 300.038
17043 16969 16935
16923 17117 16835
16928 16988 17085
17088 16811 17011
16955 16846 17183
16804 16804 17367
16995 17040 16836
17141 16866 16856
17008 16897 17015
16795 17102 17005
16829 16921 17250
16794 17149 16923
17136 16844 16883
17175 16816 16784
17004 16807 17107
17077 16888 16885
16917 16933 17142
16912 16790 17260
16756 16991 17221
16871 17014 17070
16833 16803 17316
17042 16878 16971
16955 16888 17092
16775 16868 17305
16811 17142 16879
16825 16985 17135
16904 17043 16996
16864 16878 17228
16848 17087 16951
17123 16897 16767
16826 17062 17030
16914 17050 16971
16970 17024 16885
16876 17069 16964
16983 16850 17090
16920 16886 17164
16777 16931 17264
16944 16791 17218
17080 16844 16925
16836 17044 17051
16773 17163 16870
16885 16853 17216
16812 16935 17227
16878 16942 17146
16817 16966 17158
16748 17021 17151
16853 16838 17255
16983 16925 16969
16788 17039 17074
16997 16989 16886
16942 17045 16873
16809 16829 17292
16754 17177 16834
16939 16963 16998
16843 17098 16886
16905 17056 16942
16739 16828 17383
16972 16833 17113
16947 16935 17004
17234 16762 16729
16733 16748 17424
16737 17246 16868
17234 16762 16729
16343 16523 16674
16611 16671 16766
16339 16523 16604
16748 16852 16815
16556 16498 16488
16463 16603 16707
16517 16621 16694
16641 16548 16630
16703 16723 16714
16418 16441 16608
16820 16552 16610
16568 16304 16476
16490 16528 16567
16504 16510 16566
16215 16538 16434
16745 16844 16809
16561 16759 16566
16282 16333 16251
16630 16819 16679
16607 16672 16565
16611 16599 16613
16603 16617 16708
16653 16545 16613
16231 16465 16353
16645 16552 16785
16860 17023 16765
16670 16439 16560
16586 16589 16536
16277 16133 16406
16480 16655 16552
16520 16328 16337
16721 16717 16869
16348 16086 16093
16757 16833 16990
16165 16517 16514
16702 16518 16654
16499 16475 16836
16486 16633 16459
16650 16738 16760
16745 16928 16838
16599 16817 16734
16404 16598 16668
16442 16717 16593
16635 16644 16513
16382 16490 16439
16631 16712 16638
16589 16552 16656
16410 16594 16420
16817 16702 16743
16748 16714 16675
16512 16510 16794
16598 16685 16393
16603 16691 16622
16724 16878 16886
16656 16987 16796
16996 16880 16711
16381 16558 16630
16496 16604 16275
16509 16589 16822
16294 16361 16655
16731 16770 16638
16652 16740 16714
16647 16711 16865
16835 16694 16658
16656 16442 16615
16518 16540 16653
16436 16398 16542
16776 16699 16636
16625 16817 16604
16585 16678 16575
16698 16691 16803
16336 16664 16544
16477 16891 16788
16609 16659 16789
16618 16637 16575
16294 16387 16268
16762 16593 16745
16665 16674 16562
16657 16983 16776
16466 16269 16600
16758 16955 16807
16663 16727 16847
16549 16671 16725
16452 16215 16247
16563 16621 16748
16542 16560 16614
16864 16721 16824
16537 16665 16562
16504 16452 16636
16708 16745 16809
16528 16530 16641
16365 16534 16749
16486 16300 16406
16377 16463 16501
16607 16758 16796
16608 16645 16901
16412 16421 16521
16355 16489 16430
16416 16658 16590
16712 16822 16837
16618 16659 16607
16669 16659 16511
16108 16485 16324
16701 16558 16625
16627 16533 16718
16785 16605 16628
16236 16555 16424
16462 16395 16555
16416 16582 16909
16892 16995 16862
16465 16818 16787
16667 16733 16653
16686 16732 16669
16745 16938 16804
16602 16729 16753
16209 16410 16327
16487 16546 16687
16256 16611 16476
16518 16390 16651
16742 16591 16683
16752 16623 16792
16634 16750 16799
16418 16649 16653
16592 16719 16494
16621 16671 16595
16556 16671 16827
16525 16394 16383
16473 16675 16665
16542 16723 16646
16543 16681 16906
16484 16761 16667
16539 16324 16473
16544 16612 16795
16665 16686 16537
16506 16760 16843
16670 16771 16604
16449 16321 16640
16401 16630 16607
16368 16804 16514
16265 16594 16355
16051 16389 16220
16686 16740 16629
16444 16490 16559
16671 16845 16815
16709 16713 16634
16671 16794 16875
16585 16550 16617
16761 16715 16820
16632 16703 16799
16251 16439 16326
16628 16658 16687
16640 16584 16785
16540 16770 16623
16435 16666 16634
16724 16686 16617
16554 16563 16426
16492 16436 16492
16539 16317 16508
16601 16522 16618
16724 16933 16743
16661 16855 16714
16776 16526 16611
16155 16389 16332
16692 16490 16573
16583 16643 16571
16535 16592 16713
16464 16811 16826
16512 16798 16624
16581 16387 16402
16592 16628 16723
16653 16736 16740
16846 16728 16754
16629 16766 16542
16529 16727 16707
16835 16728 16818
16571 16453 16600
16768 16776 16663
16640 16674 16830
16200 16356 16258
16701 16437 16557
16735 16582 16556
16623 16818 16759
16672 16736 16667
16479 16592 16508
16716 16658 16737
16592 16702 16631
16532 16442 16226
16575 16480 16718
16282 16335 16265
