7843 1505.06
18707 17106 17255
18605 17050 17528
18568 17556 16856
17786 17553 18401
17718 18273 17607
17562 18066 18018
18675 17254 17162
17798 17487 18365
17612 18050 17865
18033 17922 17270
18304 17431 17695
18447 17712 16979
17644 17955 18119
17818 18231 17498
17907 18164 17248
17653 17975 18041
17586 18128 17933
18063 17585 17939
17711 18140 17721
18530 17210 17541
18628 17367 17136
18512 17632 16881
17629 17815 18225
17821 17459 18396
18243 17372 17829
17859 17578 18327
18595 17468 17061
17776 18187 17518
17563 17823 18191
17599 18226 17706
17796 17644 18268
17665 17733 18302
17688 18028 17884
18273 17836 17100
18373 17146 17756
18388 17669 17116
18329 17486 17648
18474 17338 17413
18520 17615 16957
17841 17749 18166
18508 17534 17017
17767 17710 18246
17896 18099 17314
18138 17344 18109
17833 17861 17892
18126 17346 17954
18464 17663 16922
18224 17532 17628
17722 18211 17600
18657 17121 17302
18699 17172 17266
18618 17085 17424
17891 17726 17996
17919 18077 17499
17949 17617 18056
17904 17591 18139
17922 17874 17771
18581 17127 17564
17678 17932 17983
17732 18107 17750
18346 17385 17658
17935 17573 18066
18188 17413 17843
18648 17375 17084
17703 18118 17781
18520 17475 17192
18403 17435 17564
18159 17805 17357
18092 17691 17913
18655 17157 17347
18430 17508 17378
18417 17265 17674
18542 17537 16918
17789 17992 17735
17854 17693 18215
17991 17766 17760
18439 17685 17032
17843 17945 17842
17879 17845 17986
18289 17271 17808
18018 18015 17401
17685 17860 18177
18444 17179 17620
17745 17909 17974
17753 17709 18305
18205 17611 17506
18219 17655 17396
18557 17072 17575
18462 17249 17487
17742 17828 18027
18171 17405 17849
18497 17242 17522
18111 17745 17360
17979 17903 17535
18548 17090 17593
18555 17293 17330
18341 17313 17668
18003 17890 17578
18382 17442 17458
17863 18123 17516
17883 18011 17597
18492 17226 17539
18640 17175 17323
18537 17214 17430
18275 17609 17574
18214 17505 17828
18025 17518 18086
17961 17791 17873
18338 17696 17226
18481 17560 17091
18074 17792 17585
18213 17641 17438
17786 18065 17679
18352 17289 17614
18489 17307 17468
18077 17706 17816
18408 17559 17237
18437 17474 17290
17957 17627 17991
18106 17840 17457
18009 17775 17752
18160 17404 17878
17966 17369 18092
18335 17357 17733
17931 17675 18020
18562 17343 17215
18165 17545 17793
17746 17986 17845
18354 17560 17296
18589 17357 17208
17987 17811 17814
18121 17639 17665
18163 17591 17624
18293 17679 17357
18283 17568 17527
18084 17770 17584
18593 17165 17491
18010 17737 17615
18462 17481 17207
18569 17308 17292
18164 17888 17329
18342 17518 17524
18286 17630 17469
17969 17536 18017
17969 17839 17779
18380 17517 17518
18100 17686 17594
18182 17711 17540
18353 17558 17375
18222 17541 17601
18122 17535 17795
18443 17339 17534
18094 17769 17521
18286 17535 17491
18572 17287 17169
18471 17183 17487
18329 17688 17002
17775 17650 17993
17632 17893 17720
18100 17836 17208
17852 17670 17879
18428 17337 17440
18361 17513 17270
18441 17508 17077
18502 17473 17174
18095 17543 17768
18462 17223 17367
17981 17860 17336
18393 17254 17625
18238 17664 17144
18043 17449 17803
17984 17794 17528
17887 17750 17818
18023 17705 17743
18489 17305 17350
18262 17606 17484
17909 17869 17728
17887 17648 17958
18197 17439 17680
18065 17726 17514
18142 17397 17860
18353 17421 17402
18359 17380 17369
17950 17568 17946
18160 17580 17604
18000 17721 17597
18196 17498 17673
17974 17637 17842
17927 17667 17931
18293 17394 17641
18239 17560 17571
18132 17627 17339
17967 17782 17733
18278 17493 17398
18275 17584 17544
18249 17256 17736
18236 17337 17699
18054 17764 17497
17996 17584 17915
18441 17285 17518
18301 17333 17636
18373 17503 17349
18153 17621 17519
18034 17690 17640
17993 17762 17617
18340 17326 17561
18265 17481 17640
18257 17566 17556
18348 17427 17484
18300 17326 17702
18100 17723 17372
18058 17648 17703
18154 17499 17618
18549 17096 17165
17986 17394 17878
17884 17811 17589
18401 17290 17358
18087 17539 17752
18001 17649 17523
18337 17334 17306
18373 17437 17275
18214 17174 17729
18181 17594 17352
17931 17762 17674
18258 17149 17547
17942 17730 17636
18109 17395 17651
17947 17663 17574
18251 17481 17539
18225 17428 17570
18247 17558 17532
17945 17637 17731
18366 17418 17174
18245 17240 17432
18148 17552 17449
18087 17535 17734
18287 17386 17188
18155 17334 17552
18176 17355 17551
18209 17540 17493
18240 17535 17472
18218 17456 17463
18185 17509 17314
18170 17364 17488
18080 17491 17656
17859 17533 17462
18166 17528 17434
18158 17397 17359
18115 17516 17417
18050 17333 17635
17941 17452 17572
18033 17411 17361
