6784 3518.94
9619 8511 8118
9508 8268 8478
9166 9176 7952
8876 9397 8246
8821 8799 8888
8670 9304 8443
8929 8749 8852
8821 8799 8888
8690 9091 8669
8701 9181 8601
9462 8939 7971
9615 8349 8135
8731 9326 8338
8972 8683 8822
9388 8298 8596
8811 8827 8836
8717 8996 8781
9600 8585 8159
9483 8937 7985
8744 9319 8430
8869 8839 8832
8919 9276 8371
9512 8382 8455
8799 8848 8813
8908 9381 8167
8776 9395 8296
9431 8317 8581
9417 8993 8004
9508 8326 8474
9370 8436 8602
8774 9190 8540
8830 8947 8767
9538 8852 7957
8783 8968 8771
9500 8366 8481
9436 8374 8526
8724 9028 8720
8951 9336 8227
9472 8279 8517
8748 9001 8723
9588 8727 8056
8879 8814 8777
8822 9236 8500
9522 8357 8419
8905 9363 8178
9348 8453 8620
8818 9350 8285
8850 9265 8458
9013 8713 8797
8767 9233 8556
8798 9386 8299
9485 8416 8463
9492 8393 8469
9586 8595 8194
9204 9149 8115
8756 9205 8562
9514 8868 8010
9087 8739 8745
9574 8701 8123
9404 8345 8582
8982 8954 8672
9211 8930 8400
9571 8432 8307
9447 8733 8331
9438 8308 8557
8895 9287 8385
9200 8572 8663
8996 9216 8323
9480 8620 8393
9455 8372 8533
9181 9035 8368
9554 8615 8182
8844 9068 8614
9319 9094 7998
9285 8669 8530
8968 9118 8512
8718 9208 8566
9033 8683 8809
9269 8708 8543
9259 8647 8599
9558 8515 8290
9597 8471 8268
8857 9030 8670
9353 8967 8095
9088 8786 8707
9444 8355 8536
8842 9271 8424
8931 8896 8753
9530 8425 8384
9398 8925 8101
9107 8715 8758
8938 8922 8712
9533 8835 8034
9010 8746 8764
9505 8305 8505
8898 9331 8277
8836 8922 8769
9414 8989 8018
9232 9062 8203
9472 8279 8517
9256 9115 8112
9189 9022 8349
9377 8423 8560
9196 8636 8637
9307 8486 8623
9165 8760 8695
9228 8633 8655
9355 8533 8568
9071 9071 8448
9028 9248 8222
9580 8650 8108
9413 8821 8260
9268 8478 8676
8969 9159 8438
8946 9321 8304
9322 8474 8644
8916 9297 8321
8883 9123 8588
9236 8640 8635
9477 8907 8065
9148 9123 8207
8761 9134 8648
9038 8548 8801
9394 9006 8048
9276 9125 8023
9359 8900 8254
8840 8988 8730
9143 8684 8739
8751 9104 8664
9506 8895 7994
9031 8686 8790
9302 8608 8640
9021 8806 8714
8796 9126 8612
8763 9147 8596
8889 9151 8474
9542 8339 8422
9331 8982 8148
9422 8487 8494
9278 8952 8339
9123 8979 8515
8923 9254 8364
9514 8825 8075
9084 9139 8341
9017 9242 8244
8791 9053 8682
9299 8960 8309
8873 9306 8343
8866 9263 8401
8803 9360 8334
8978 9224 8386
9545 8398 8333
9503 8467 8432
9317 8539 8618
9273 8564 8652
8891 9227 8453
9537 8793 7989
9411 8331 8586
9363 8568 8490
9536 8491 8377
9241 8872 8377
9565 8788 8044
8999 8938 8630
8770 9317 8402
8724 9169 8591
8789 9295 8484
9522 8772 8126
9191 8650 8690
8896 8977 8716
9054 8976 8554
9567 8751 8062
9253 8664 8593
8932 8795 8833
8901 9144 8545
9309 8903 8351
9243 8662 8615
9366 9045 8014
8903 9371 8209
9237 8757 8579
9132 8719 8698
9103 9222 8237
9271 9038 8164
9101 9202 8268
9039 9311 8110
8913 8997 8702
8863 9136 8584
9042 9011 8561
8936 9132 8572
9474 8767 8222
9231 8536 8693
9577 8447 8286
8950 9281 8302
9532 8518 8373
9415 8926 8057
9367 8524 8551
9345 9057 7995
9183 8590 8743
9019 9314 8212
8793 9199 8524
9555 8627 8169
9520 8630 8312
9351 8400 8617
8992 9197 8353
9168 8876 8525
9033 9259 8188
9016 9219 8291
9007 9238 8298
9381 8506 8538
9003 9302 8273
8945 9340 8157
9542 8458 8336
9461 8501 8446
9173 9134 8144
9475 8407 8479
9429 8387 8548
9560 8596 8179
9282 8756 8504
9313 9047 8054
8961 8785 8794
8903 9371 8209
8892 9293 8358
9116 8554 8786
8858 8890 8796
8904 8912 8736
9369 8611 8434
9293 8667 8508
9193 8588 8659
9465 8695 8283
9405 8743 8366
9247 8580 8650
9090 8866 8660
9037 8901 8633
8959 8956 8610
8942 9357 8229
9306 9067 8044
9296 8657 8534
9140 9100 8248
9099 8860 8642
9076 8904 8631
9096 9203 8301
9449 8809 8234
