26930 1560.82
17547 17440 16783
16677 18221 16669
16626 17250 18266
16504 18034 17751
16571 17820 18017
17351 17373 17679
17012 17399 18102
17345 17803 17233
16505 18139 17625
16505 17943 17928
17218 17120 18098
17417 17220 17685
16981 17234 18158
17214 17456 17765
17195 17814 17474
17175 18076 16978
16481 17960 17903
17349 17883 16903
16617 17646 18075
17168 17842 17525
16659 17991 17787
16713 17933 17857
17258 17161 18019
17474 17259 17595
16617 17646 18075
17309 17196 17900
17203 18021 17028
16488 18109 17661
17023 17350 18136
17364 17058 17816
16571 17820 18017
17246 17956 16776
16467 18105 17682
16863 17644 17932
16976 17686 17891
17437 17512 17330
16787 17385 18178
17125 17578 17857
17120 17735 17678
16913 18076 17335
16466 17924 17988
17300 17642 17494
17154 17062 18114
17324 17599 17473
17147 18095 17037
16525 17998 17813
17227 17205 18024
17398 17694 17089
16783 17442 18161
17280 17150 17978
17150 17992 17330
17042 17900 17537
16713 17933 17857
17393 17796 17017
16571 17820 18017
17245 18012 16979
16491 17983 17818
16568 17923 17926
17222 17121 18044
17443 17133 17678
17124 17243 18137
17322 17346 17720
17270 17944 16819
16861 18178 16729
16571 17820 18017
17224 17536 17720
17096 17224 18145
17242 17577 17595
16661 18057 17567
16958 17736 17847
17157 17541 17863
17479 17352 17287
16840 17129 18222
17244 17266 17976
17035 17872 17659
16988 18014 17491
16783 17769 17956
17387 17562 17485
17194 17216 18041
17393 17796 17017
16839 18191 16782
16505 17943 17928
17218 17120 18098
17385 17231 17704
16940 17224 18183
17198 17550 17798
17168 17842 17525
17127 18079 17056
16466 17924 17988
17345 17803 17233
16515 17742 18051
17150 17992 17330
16850 17897 17730
16659 17991 17787
17261 17136 18012
17434 17644 16969
16617 17646 18075
17280 17242 17950
17175 18076 16978
16482 18061 17708
16590 17724 18044
17364 17058 17816
16875 17585 18048
17349 17883 16903
16508 18120 17646
16993 17630 17882
17043 17673 17819
17444 17556 16732
16755 17512 18095
17084 17771 17706
17212 17530 17770
16997 18132 17081
16466 17924 17988
17336 17610 17547
17124 17243 18137
17336 17610 17547
16975 18086 17247
16525 17998 17813
17222 17121 18044
17394 17698 17046
16940 17224 18183
17280 17242 17950
17191 17899 17395
17098 18011 17338
16852 17778 17859
17398 17694 17089
16466 17924 17988
17245 18012 16979
16482 18061 17708
16783 17769 17956
16907 17657 17917
17466 17364 17509
16755 17512 18095
17315 16996 17879
17245 18012 16979
16505 18139 17625
16515 17742 18051
17313 17179 17842
16755 17512 18095
17226 17789 17435
16838 18002 17596
16894 17869 17718
17244 17266 17976
17497 17167 17392
16686 17277 18252
17228 17233 17998
17021 17872 17704
16779 17991 17612
16681 17801 17999
17387 17562 17485
17124 17243 18137
17393 17796 17017
16940 18148 16843
16505 17943 17928
17218 17120 18098
17434 17142 17747
17096 17224 18145
17322 17346 17720
17269 17887 17278
17178 18037 16864
16491 17983 17818
17270 17944 16819
16617 17646 18075
17080 17849 17546
16571 17970 17828
16481 17960 17903
17222 17121 18044
17445 17373 17506
16794 17476 18119
17280 17242 17950
17208 18015 17050
16467 18105 17682
16944 17486 18058
17364 17058 17816
16681 17801 17999
17270 17944 16819
16467 18105 17682
16931 17631 17892
16980 17656 17866
17434 17644 16969
16787 17385 18178
17150 17644 17747
17152 17724 17596
17147 18095 17037
16466 17924 17988
17329 17680 17337
17218 17120 18098
17350 17637 17299
17147 18095 17037
16504 18034 17751
17207 17234 18017
17393 17796 17017
16783 17442 18161
17274 17194 17997
17019 17969 17553
16895 17941 17640
16505 17943 17928
17393 17796 17017
16516 17768 18026
17227 17972 17105
16520 18011 17791
16692 17848 17908
17094 17430 17999
17434 17142 17747
17096 17224 18145
17332 17116 17826
17246 17956 16776
16890 18137 16851
16571 17820 18017
17289 17477 17582
17124 17243 18137
17310 17605 17530
16934 18072 17370
17026 17741 17786
17157 17541 17863
17536 17482 16744
16734 17319 18199
17125 17578 17857
17110 17733 17733
16707 18065 17459
16898 17607 18033
17419 17124 17774
16978 17555 17985
17349 17883 16903
16453 18175 17548
16466 17924 17988
17111 17276 18104
17405 17129 17779
16981 17234 18158
17306 17242 17887
17191 17899 17395
17167 18046 17166
16481 17960 17903
17349 17883 16903
16617 17646 18075
17216 17861 17340
16851 17952 17647
16827 17928 17742
17277 17169 17990
17536 17482 16744
16515 17742 18051
17315 16996 17879
17175 18076 16978
16467 18105 17682
16923 17463 18093
17344 17134 17819
16571 17820 18017
17246 17956 16776
16504 18034 17751
16891 17814 17830
17123 17376 17902
17474 17259 17595
